,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au3.Ir0,1,[3],[-1.3250000000000028],[0],[0.2704000000000093],-1.5954000000000121,"Atoms(symbols='IrPt2Au', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPt2AuC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-1.6367310800000041,0.04133107999999197
1,0.1.Au2.Ir0,1,[2],[0.39879999999999427],[0],[0.2704000000000093],0.12839999999998497,"Atoms(symbols='IrPtAuPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPtAuPtC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.026809149999998283,0.10159084999998669
0,0.0.Ir3.Au0,-1,[3],[-1.3250000000000028],[0],[0.2704000000000093],1.5954000000000121,"Atoms(symbols='AuPt2Ir', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPt2IrC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",1.1848941400000008,0.4105058600000113
1,0.1.Ir2.Au0,-1,[2],[0.39879999999999427],[0],[0.2704000000000093],-0.12839999999998497,"Atoms(symbols='AuPtIrPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPtIrPtC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.26915380000000155,0.14075380000001658
0,0.0.Au3.Au2.Ir0.Ir1,1,"[3, 2]","[-1.3250000000000028, 0.39879999999999427]","[0, 1]","[0.2704000000000093, 0.35590000000000543]",-1.5525000000000233,"Atoms(symbols='Ir2Au2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Ir2Au2C', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-1.7166459900000035,0.1641459899999802
0,0.0.Ir3.Ir2.Au0.Au1,-1,"[3, 2]","[-1.3250000000000028, 0.39879999999999427]","[0, 1]","[0.2704000000000093, 0.35590000000000543]",1.5525000000000233,"Atoms(symbols='Au2Ir2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Au2Ir2C', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.7434939499999977,0.8090060500000256
0,0.0.Hg3.Os0,2,[3],[-1.3250000000000028],[0],[0.2704000000000093],-3.1908000000000243,"Atoms(symbols='OsPt2Hg', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPt2HgC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-3.1103416500000023,0.080458350000022
1,0.1.Hg2.Os0,2,[2],[0.39879999999999427],[0],[0.2704000000000093],0.25679999999996994,"Atoms(symbols='OsPtHgPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPtHgPtC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.09411507000000086,0.3509150699999708
0,0.0.Os3.Hg0,-2,[3],[-1.3250000000000028],[0],[0.2704000000000093],3.1908000000000243,"Atoms(symbols='HgPt2Os', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPt2OsC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",1.5712065200000005,1.6195934800000238
1,0.1.Os2.Hg0,-2,[2],[0.39879999999999427],[0],[0.2704000000000093],-0.25679999999996994,"Atoms(symbols='HgPtOsPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPtOsPtC', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.3324035899999984,0.07560359000002848
