,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au3.Ir0,1,[3],[0.25260000000000105],[0],[1.4230000000000018],-1.1704000000000008,"Atoms(symbols='IrPt2Au', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPt2AuCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-1.1729019600000044,0.002501960000003578
1,0.1.Au2.Ir0,1,[2],[1.4913999999999987],[0],[1.4230000000000018],0.06839999999999691,"Atoms(symbols='IrPtAuPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPtAuPtCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.0960301100000045,0.1644301100000014
0,0.0.Ir3.Au0,-1,[3],[0.25260000000000105],[0],[1.4230000000000018],1.1704000000000008,"Atoms(symbols='AuPt2Ir', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPt2IrCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.838471779999999,0.3319282200000018
1,0.1.Ir2.Au0,-1,[2],[1.4913999999999987],[0],[1.4230000000000018],-0.06839999999999691,"Atoms(symbols='AuPtIrPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPtIrPtCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.2421779400000048,0.1737779400000079
0,0.0.Au3.Au2.Ir0.Ir1,1,"[3, 2]","[0.25260000000000105, 1.4913999999999987]","[0, 1]","[1.4230000000000018, 1.4831999999999965]",-1.1621999999999986,"Atoms(symbols='Ir2Au2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Ir2Au2CH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-1.2969774000000065,0.13477740000000793
0,0.0.Ir3.Ir2.Au0.Au1,-1,"[3, 2]","[0.25260000000000105, 1.4913999999999987]","[0, 1]","[1.4230000000000018, 1.4831999999999965]",1.1621999999999986,"Atoms(symbols='Au2Ir2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Au2Ir2CH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.45813928999999476,0.7040607100000038
0,0.0.Hg3.Os0,2,[3],[0.25260000000000105],[0],[1.4230000000000018],-2.3408000000000015,"Atoms(symbols='OsPt2Hg', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPt2HgCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-2.510550940000009,0.16975094000000723
1,0.1.Hg2.Os0,2,[2],[1.4913999999999987],[0],[1.4230000000000018],0.13679999999999382,"Atoms(symbols='OsPtHgPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPtHgPtCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.14526902000000774,0.28206902000000156
0,0.0.Os3.Hg0,-2,[3],[0.25260000000000105],[0],[1.4230000000000018],2.3408000000000015,"Atoms(symbols='HgPt2Os', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPt2OsCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.8554181999999955,1.485381800000006
1,0.1.Os2.Hg0,-2,[2],[1.4913999999999987],[0],[1.4230000000000018],-0.13679999999999382,"Atoms(symbols='HgPtOsPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPtOsPtCH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.22960391000000158,0.09280391000000776
