,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au3.Ir0,1,[3],[-1.6647999999999996],[0],[0.12109999999999843],-1.785899999999998,"Atoms(symbols='IrPt2Au', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPt2AuN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-2.4529971300000035,0.6670971300000055
1,0.1.Au2.Ir0,1,[2],[0.16289999999999338],[0],[0.12109999999999843],0.04179999999999495,"Atoms(symbols='IrPtAuPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPtAuPtN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.06490878000000322,0.10670877999999817
0,0.0.Ir3.Au0,-1,[3],[-1.6647999999999996],[0],[0.12109999999999843],1.785899999999998,"Atoms(symbols='AuPt2Ir', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPt2IrN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",1.2405442799999982,0.5453557199999999
1,0.1.Ir2.Au0,-1,[2],[0.16289999999999338],[0],[0.12109999999999843],-0.04179999999999495,"Atoms(symbols='AuPtIrPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPtIrPtN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.23297226000000038,0.19117226000000542
0,0.0.Au3.Au2.Ir0.Ir1,1,"[3, 2]","[-1.6647999999999996, 0.16289999999999338]","[0, 1]","[0.12109999999999843, 0.22039999999999793]",-1.8434000000000026,"Atoms(symbols='Ir2Au2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Ir2Au2N', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-2.546512830000001,0.7031128299999985
0,0.0.Ir3.Ir2.Au0.Au1,-1,"[3, 2]","[-1.6647999999999996, 0.16289999999999338]","[0, 1]","[0.12109999999999843, 0.22039999999999793]",1.8434000000000026,"Atoms(symbols='Au2Ir2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Au2Ir2N', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.8425288299999991,1.0008711700000035
0,0.0.Hg3.Os0,2,[3],[-1.6647999999999996],[0],[0.12109999999999843],-3.571799999999996,"Atoms(symbols='OsPt2Hg', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPt2HgN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-4.272979300000003,0.7011793000000068
1,0.1.Hg2.Os0,2,[2],[0.16289999999999338],[0],[0.12109999999999843],0.0835999999999899,"Atoms(symbols='OsPtHgPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPtHgPtN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.20498983000000237,0.2885898299999923
0,0.0.Os3.Hg0,-2,[3],[-1.6647999999999996],[0],[0.12109999999999843],3.571799999999996,"Atoms(symbols='HgPt2Os', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPt2OsN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",2.0124489899999993,1.5593510099999968
1,0.1.Os2.Hg0,-2,[2],[0.16289999999999338],[0],[0.12109999999999843],-0.0835999999999899,"Atoms(symbols='HgPtOsPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPtOsPtN', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.334613430000001,0.2510134300000111
