,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au3.Ir0,1,[3],[-1.941199999999995],[0],[-0.2844999999999942],-1.6567000000000007,"Atoms(symbols='IrPt2Au', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPt2AuO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-1.6172945600000048,0.039405439999995906
1,0.1.Au2.Ir0,1,[2],[-0.4695000000000107],[0],[-0.2844999999999942],-0.18500000000001648,"Atoms(symbols='IrPtAuPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPtAuPtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-0.30884734000000336,0.12384733999998687
0,0.0.Ir3.Au0,-1,[3],[-1.941199999999995],[0],[-0.2844999999999942],1.6567000000000007,"Atoms(symbols='AuPt2Ir', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPt2IrO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",1.394000939999998,0.26269906000000276
1,0.1.Ir2.Au0,-1,[2],[-0.4695000000000107],[0],[-0.2844999999999942],0.18500000000001648,"Atoms(symbols='AuPtIrPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPtIrPtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",0.07402157999999659,0.1109784200000199
0,0.0.Au3.Au2.Ir0.Ir1,1,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",-1.8123000000000076,"Atoms(symbols='Ir2Au2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Ir2Au2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-1.8521920700000045,0.03989206999999695
0,0.0.Ir3.Ir2.Au0.Au1,-1,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",1.8123000000000076,"Atoms(symbols='Au2Ir2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Au2Ir2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",1.2319657299999953,0.5803342700000123
0,0.0.Hg3.Os0,2,[3],[-1.941199999999995],[0],[-0.2844999999999942],-3.3134000000000015,"Atoms(symbols='OsPt2Hg', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPt2HgO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-2.1597321100000038,1.1536678899999977
1,0.1.Hg2.Os0,2,[2],[-0.4695000000000107],[0],[-0.2844999999999942],-0.37000000000003297,"Atoms(symbols='OsPtHgPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPtHgPtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-0.6814886200000032,0.31148861999997024
0,0.0.Os3.Hg0,-2,[3],[-1.941199999999995],[0],[-0.2844999999999942],3.3134000000000015,"Atoms(symbols='HgPt2Os', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPt2OsO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",2.276581649999997,1.0368183500000043
1,0.1.Os2.Hg0,-2,[2],[-0.4695000000000107],[0],[-0.2844999999999942],0.37000000000003297,"Atoms(symbols='HgPtOsPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPtOsPtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",0.2746941499999984,0.09530585000003455
0,0.0.Hg3.Hg2.Os0.Os1,2,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",-3.624600000000015,"Atoms(symbols='Os2Hg2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Os2Hg2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-2.589922180000002,1.034677820000013
0,0.0.Os3.Os2.Hg0.Hg1,-2,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",3.624600000000015,"Atoms(symbols='Hg2Os2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Hg2Os2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",2.0705595099999954,1.5540404900000198
0,0.0.Tl3.Re0,3,[3],[-1.941199999999995],[0],[-0.2844999999999942],-4.970100000000002,"Atoms(symbols='RePt2Tl', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='RePt2TlO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-3.1480420400000035,1.8220579599999986
1,0.1.Tl2.Re0,3,[2],[-0.4695000000000107],[0],[-0.2844999999999942],-0.5550000000000495,"Atoms(symbols='RePtTlPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='RePtTlPtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-0.9607352900000024,0.4057352899999529
0,0.0.Re3.Tl0,-3,[3],[-1.941199999999995],[0],[-0.2844999999999942],4.970100000000002,"Atoms(symbols='TlPt2Re', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='TlPt2ReO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",2.568643949999995,2.4014560500000073
1,0.1.Re2.Tl0,-3,[2],[-0.4695000000000107],[0],[-0.2844999999999942],0.5550000000000495,"Atoms(symbols='TlPtRePt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='TlPtRePtO', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",0.026581689999996883,0.5284183100000526
0,0.0.Tl3.Tl2.Re0.Re1,3,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",-5.436900000000023,"Atoms(symbols='Re2Tl2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Re2Tl2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",-3.377828100000002,2.0590719000000206
0,0.0.Re3.Re2.Tl0.Tl1,-3,"[3, 2]","[-1.941199999999995, -0.4695000000000107]","[0, 1]","[-0.2844999999999942, -0.31390000000000384]",5.436900000000023,"Atoms(symbols='Tl2Re2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Tl2Re2O', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))",2.094801249999996,3.3420987500000265
