,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au12.Ir0,1,[12],[0.44189999999998975],[0],[0.4625999999999948],-0.020700000000005048,"Atoms(symbols='IrPt11AuPt3', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt11AuPt3OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.014783420000000547,0.005916580000004501
1,0.1.Au13.Ir0,1,[13],[0.44189999999998975],[0],[0.4625999999999948],-0.020700000000005048,"Atoms(symbols='IrPt12AuPt2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt12AuPt2OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.014456630000012183,0.006243369999992865
2,0.2.Au14.Ir0,1,[14],[0.4538999999999902],[0],[0.4625999999999948],-0.008700000000004593,"Atoms(symbols='IrPt13AuPt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt13AuPtOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.016825640000007525,0.008125640000002932
3,0.3.Au15.Ir0,1,[15],[0.4502999999999986],[0],[0.4625999999999948],-0.012299999999996203,"Atoms(symbols='IrPt14Au', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt14AuOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.007973459999988108,0.0043265400000080945
4,0.4.Au8.Ir0,1,[8],[0.4527999999999963],[0],[0.4625999999999948],-0.009799999999998477,"Atoms(symbols='IrPt7AuPt7', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt7AuPt7OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.00978621000000146,1.3789999997015912e-05
5,0.5.Au9.Ir0,1,[9],[0.4527999999999963],[0],[0.4625999999999948],-0.009799999999998477,"Atoms(symbols='IrPt8AuPt6', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt8AuPt6OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.009192630000001145,0.0006073699999973314
6,0.6.Au10.Ir0,1,[10],[0.4539000000000044],[0],[0.4625999999999948],-0.008699999999990382,"Atoms(symbols='IrPt9AuPt5', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt9AuPt5OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.00990557999999453,0.0012055800000041472
7,0.7.Au11.Ir0,1,[11],[0.45640000000000214],[0],[0.4625999999999948],-0.006199999999992656,"Atoms(symbols='IrPt10AuPt4', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='IrPt10AuPt4OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.007382570000004307,0.0011825700000116512
0,0.0.Ir12.Au0,-1,[12],[0.44189999999998975],[0],[0.4625999999999948],0.020700000000005048,"Atoms(symbols='AuPt11IrPt3', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt11IrPt3OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.019576259999993795,0.001123740000011253
1,0.1.Ir13.Au0,-1,[13],[0.44189999999998975],[0],[0.4625999999999948],0.020700000000005048,"Atoms(symbols='AuPt12IrPt2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt12IrPt2OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.02095643999999197,0.0002564399999869238
2,0.2.Ir14.Au0,-1,[14],[0.4538999999999902],[0],[0.4625999999999948],0.008700000000004593,"Atoms(symbols='AuPt13IrPt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt13IrPtOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.001390979999996489,0.010090980000001082
3,0.3.Ir15.Au0,-1,[15],[0.4502999999999986],[0],[0.4625999999999948],0.012299999999996203,"Atoms(symbols='AuPt14Ir', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt14IrOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.01098546999999428,0.0013145300000019233
4,0.4.Ir8.Au0,-1,[8],[0.4527999999999963],[0],[0.4625999999999948],0.009799999999998477,"Atoms(symbols='AuPt7IrPt7', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt7IrPt7OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.008668709999994917,0.0011312900000035597
5,0.5.Ir9.Au0,-1,[9],[0.4527999999999963],[0],[0.4625999999999948],0.009799999999998477,"Atoms(symbols='AuPt8IrPt6', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt8IrPt6OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.0104716499999995,0.0006716500000010228
6,0.6.Ir10.Au0,-1,[10],[0.4539000000000044],[0],[0.4625999999999948],0.008699999999990382,"Atoms(symbols='AuPt9IrPt5', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt9IrPt5OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.006130709999993655,0.0025692899999967267
7,0.7.Ir11.Au0,-1,[11],[0.45640000000000214],[0],[0.4625999999999948],0.006199999999992656,"Atoms(symbols='AuPt10IrPt4', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='AuPt10IrPt4OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.006567879999991533,0.0003678799999988769
0,0.0.Au12.Au13.Ir0.Ir1,1,"[12, 13]","[0.44189999999998975, 0.44189999999998975]","[0, 1]","[0.4625999999999948, 0.4625999999999948]",-0.041400000000010095,"Atoms(symbols='Ir2Pt10Au2Pt2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Ir2Pt10Au2Pt2OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.02327067999999599,0.018129320000014104
1,0.1.Au12.Au14.Ir0.Ir1,1,"[12, 14]","[0.44189999999998975, 0.4538999999999902]","[0, 1]","[0.4625999999999948, 0.4625999999999948]",-0.02940000000000964,"Atoms(symbols='Ir2Pt10AuPtAuPt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Ir2Pt10AuPtAuPtOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.027320649999992952,0.0020793500000166887
2,0.2.Au12.Au15.Ir0.Ir1,1,"[12, 15]","[0.44189999999998975, 0.4502999999999986]","[0, 1]","[0.4625999999999948, 0.4625999999999948]",-0.03300000000000125,"Atoms(symbols='Ir2Pt10AuPt2Au', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Ir2Pt10AuPt2AuOH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.02037689000000853,0.012623109999992721
3,0.3.Au12.Au8.Ir0.Ir1,1,"[12, 8]","[0.44189999999998975, 0.4527999999999963]","[0, 1]","[0.4625999999999948, 0.4625999999999948]",-0.030500000000003524,"Atoms(symbols='Ir2Pt6AuPt3AuPt3', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Ir2Pt6AuPt3AuPt3OH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",-0.01259162999998864,0.017908370000014884
