molid,deltaz,inert,active,delBE_dft,delBE_alc
2.4_Ir-0.4_Au,1,2:4,0:4,-0.59429871,-0.4194
2_Ir-2_Au,1,2,2,-0.08013121,-0.0765
4_Hg-0_Os,2,4,0,0.13072415,0.855
0_Hg-0_Os,2,0,0,0.17800805,0.9216
4_Hg-4_Os,2,4,4,-0.0716123,-0.0526
0_Au-2_Ir,1,0,2,0.05900023,0.0916
2.4_Ir-0.2_Au,1,2:4,0:2,-0.64979079,-0.504
4_Os-2_Hg,2,4,2,-0.11018948,-0.1166
2_Au-2_Ir,1,2,2,0.05688614,0.0765
0_Au-4_Ir,1,0,4,-0.01957447,0.00699999999999
2.4_Au-0.4_Ir,1,2:4,0:4,0.17177661,0.4194
0_Hg-2_Os,2,0,2,0.06563064,0.1832
0_Hg-4_Os,2,0,4,-0.06661542,0.014
4_Hg-2_Os,2,4,2,0.03461446,0.1166
2_Au-0_Ir,1,2,0,0.20485909,0.4457
2_Os-4_Hg,2,2,4,-0.01472898,0.0162
0.2_Os-2.4_Hg,2,0:2,2:4,-0.14632557,-0.167
0.2_Ir-2.4_Au,1,0:2,2:4,-0.07555696,-0.0835
0.2.4_Os-0.2.4_Hg,2,0:2:4,0:2:4,-1.60446359,-1.022
0.2.4_Au-0.2.4_Ir,1,0:2:4,0:2:4,0.26313617,0.511
2.4_Hg-2.4_Os,2,2:4,2:4,0.04747721,0.1004
0.4_Hg-2.4_Os,2,0:4,2:4,0.02288629,0.1306
0.2_Hg-2.4_Os,2,0:2,2:4,0.04577929,0.167
2_Os-2_Hg,2,2,2,-0.1177918,-0.153
4_Au-0_Ir,1,4,0,0.17264405,0.4275
4_Au-4_Ir,1,4,4,-0.04084012,-0.0263
2.4_Ir-2.4_Au,1,2:4,2:4,-0.04910816,-0.0502
4_Ir-4_Au,1,4,4,0.01421142,0.0263
4_Ir-2_Au,1,4,2,-0.0611695,-0.0583
4_Os-4_Hg,2,4,4,-0.00592789000001,0.0526
0_Os-0_Hg,2,0,0,-1.49565704,-0.9216
2.4_Hg-0.2_Os,2,2:4,0:2,0.263432,1.008
0_Au-0_Ir,1,0,0,0.20146476,0.4608
2_Ir-0_Au,1,2,0,-0.61053727,-0.4457
0.2_Os-0.4_Hg,2,0:2,0:4,-1.50571878,-0.9054
0.4_Ir-0.4_Au,1,0:4,0:4,-0.60692722,-0.4345
0.4_Hg-0.2_Os,2,0:4,0:2,0.25803565,1.0382
0.2_Ir-0.2_Au,1,0:2,0:2,-0.67320082,-0.5373
0_Os-4_Hg,2,0,4,-0.058806,-0.014
0.4_Os-0.2_Hg,2,0:4,0:2,-1.6473108,-1.0382
4_Os-0_Hg,2,4,0,-1.45865303,-0.855
0_Ir-4_Au,1,0,4,-0.0118505,-0.00699999999999
2_Hg-4_Os,2,2,4,-0.04318966,-0.0162
0.2_Hg-0.2_Os,2,0:2,0:2,0.29490188,1.0746
0_Os-2_Hg,2,0,2,-0.16482684,-0.1832
0.4_Au-2.4_Ir,1,0:4,2:4,0.0303542,0.0653
2_Hg-0_Os,2,2,0,0.19040695,0.8914
0.4_Hg-0.4_Os,2,0:4,0:4,0.14039117,0.869
2.4_Au-0.2_Ir,1,2:4,0:2,0.252534,0.504
0.2_Ir-0.4_Au,1,0:2,0:4,-0.61640748,-0.4527
0.4_Au-0.4_Ir,1,0:4,0:4,0.16965557,0.4345
0.4_Ir-2.4_Au,1,0:4,2:4,-0.05663718,-0.0653
0.2_Hg-0.4_Os,2,0:2,0:4,0.16517897,0.9054
0.2_Au-0.2_Ir,1,0:2,0:2,0.27860063,0.5373
2_Os-0_Hg,2,2,0,-1.45419177,-0.8914
0.2_Au-2.4_Ir,1,0:2,2:4,0.0488664,0.0835
2_Ir-4_Au,1,2,4,-0.00209011000001,0.00810000000001
0.4_Ir-0.2_Au,1,0:4,0:2,-0.66732035,-0.5191
0.4_Au-0.2_Ir,1,0:4,0:2,0.25283886,0.5191
0.2.4_Hg-0.2.4_Os,2,0:2:4,0:2:4,0.24586563,1.022
4_Au-2_Ir,1,4,2,0.03426972,0.0583
0.2.4_Ir-0.2.4_Au,1,0:2:4,0:2:4,-0.64206667,-0.511
2_Hg-2_Os,2,2,2,0.07853419,0.153
0.2_Os-0.2_Hg,2,0:2,0:2,-1.61650897,-1.0746
4_Ir-0_Au,1,4,0,-0.59973382,-0.4275
2.4_Os-0.4_Hg,2,2:4,0:4,-1.47073222,-0.8388
0.4_Os-0.4_Hg,2,0:4,0:4,-1.51618853,-0.869
2_Au-4_Ir,1,2,4,-0.01895377,-0.00810000000001
0.2_Au-0.4_Ir,1,0:2,0:4,0.19690534,0.4527
2.4_Os-2.4_Hg,2,2:4,2:4,-0.10194305,-0.1004
2.4_Au-2.4_Ir,1,2:4,2:4,0.0324474,0.0502
0.4_Os-2.4_Hg,2,0:4,2:4,-0.15287821,-0.1306
2.4_Os-0.2_Hg,2,2:4,0:2,-1.58387199,-1.008
2.4_Hg-0.4_Os,2,2:4,0:4,0.14195347,0.8388
0_Ir-0_Au,1,0,0,-0.62315678,-0.4608
