molid,deltaz,inert,active,delBE_dft,delBE_alc
0.7_Hg-3.4_Os,2,0:7,3:4,0.12354626,0.2458
3.7_Hg-2.6_Os,2,3:7,2:6,0.1021578,0.1822
0.3_Re-0.6_Tl,3,0:3,0:6,-2.2114494,-1.4097
3.4.7_Ir-3.4.6_Au,1,3:4:7,3:4:6,-0.10368545,-0.1388
2.7_Hg-0.2_Os,2,2:7,0:2,0.13625571,0.9192
0_Re-6_Tl,3,0,6,-0.13055248,-0.1698
2_Re-4_Tl,3,2,4,-0.08628998,-0.0701999999999
0.2.3_Os-2.3.6_Hg,2,0:2:3,2:3:6,-0.33118504,-0.3524
2.4.6_Hg-0.2.3_Os,2,2:4:6,0:2:3,0.21020044,1.0558
7_Hg-4_Os,2,7,4,0.0273905,0.0612
2.3.7_Au-3.4.6_Ir,1,2:3:7,3:4:6,0.11083576,0.152
7_Hg-2_Os,2,7,2,0.04856826,0.0952
2.3.6_Au-0.3.6_Ir,1,2:3:6,0:3:6,0.28434109,0.5442
2.3_Hg-0.2_Os,2,2:3,0:2,0.12470834,0.9074
4.7_Au-2.6_Ir,1,4:7,2:6,0.06616958,0.0766
2.3.7_Hg-3.4.6_Os,2,2:3:7,3:4:6,0.13388539,0.304
2.3.6_Hg-0.3.6_Os,2,2:3:6,0:3:6,0.34676723,1.0884
2.3.7_Hg-2.3.6_Os,2,2:3:7,2:3:6,0.17660818,0.338
3_Re-4_Tl,3,3,4,-0.08660533,-0.0740999999999
7_Au-4_Ir,1,7,4,0.02003668,0.0306
0.3.6_Tl-0.2.6_Re,3,0:3:6,0:2:6,0.14622321,1.5633
4_Re-3_Tl,3,4,3,-0.18353626,-0.1941
6_Re-6_Tl,3,6,6,-0.01883758,-0.159
3.4.7_Os-0.2.6_Hg,2,3:4:7,0:2:6,-1.53012875,-0.9798
0.6_Hg-0.6_Os,2,0:6,0:6,0.29966582,0.9588
3.6_Tl-4.6_Re,3,3:6,4:6,0.01132756,0.2331
6_Tl-4_Re,3,6,4,0.05670999,0.1026
7_Au-3_Ir,1,7,3,0.0514291,0.0851
6_Au-4_Ir,1,6,4,0.03352443,0.0342
2_Hg-2_Os,2,2,2,0.01069748,0.0808
6.7_Ir-0.2_Au,1,6:7,0:2,-0.64737498,-0.4704
0.2_Re-0.6_Tl,3,0:2,0:6,-2.23682009,-1.4058
3.7_Hg-2.4_Os,2,3:7,2:4,0.05900243,0.1446
4_Au-2_Ir,1,4,2,0.01598551,0.0272
3.7_Au-2.4_Ir,1,3:7,2:4,0.05164755,0.0723
2_Au-3_Ir,1,2,3,0.04530092,0.0779
0.6_Hg-4.6_Os,2,0:6,4:6,0.09581706,0.1816
0.2_Ir-0.6_Au,1,0:2,0:6,-0.65312634,-0.4686
3.6.7_Tl-0.2.6_Re,3,3:6:7,0:2:6,0.13802151,1.5417
2.3.6_Re-2.3.6_Tl,3,2:3:6,2:3:6,-0.39788207,-0.5178
0_Au-0_Ir,1,0,0,0.18110696,0.4264
3_Hg-3_Os,2,3,3,0.05614069,0.1584
2_Au-2_Ir,1,2,2,0.0181135,0.0404
3.7_Tl-2.6_Re,3,3:7,2:6,0.07344088,0.2733
2_Tl-6_Re,3,2,6,0.00253696999999,0.1266
3_Tl-6_Re,3,3,6,-0.01259168,0.1305
3_Au-6_Ir,1,3,6,0.02334367,0.0435
3.7_Ir-0.2_Au,1,3:7,0:2,-0.64888153,-0.4609
3_Re-0_Tl,3,3,0,-2.15014923,-1.2399
0.6_Os-2.3_Hg,2,0:6,2:3,-0.21159086,-0.287
4.7_Os-3.4_Hg,2,4:7,3:4,-0.192013,-0.1906
0.3.6.7_Tl-0.2.3.6_Re,3,0:3:6:7,0:2:3:6,0.24156531,1.8186
0.6_Au-4.6_Ir,1,0:6,4:6,0.07871069,0.0908
0.2_Os-0.6_Hg,2,0:2,0:6,-1.50354437,-0.9372
3.4.7_Hg-0.2.4_Os,2,3:4:7,0:2:4,0.11333148,0.9422
2.3.4.6_Au-2.3.4.6_Ir,1,2:3:4:6,2:3:4:6,0.15840748,0.1828
2.6_Tl-4.6_Re,3,2:6,4:6,0.04110135,0.2292
0.7_Tl-3.4_Re,3,0:7,3:4,0.12426316,0.3687
3.7_Au-3.4_Ir,1,3:7,3:4,0.0741439,0.1098
4_Hg-6_Os,2,4,6,0.01313714,0.058
6.7_Tl-0.3_Re,3,6:7,0:3,0.1815617,1.5237
2.7_Tl-0.2_Re,3,2:7,0:2,0.02924383,1.3788
6_Ir-6_Au,1,6,6,-0.04344744,-0.053
0.2_Re-2.6_Tl,3,0:2,2:6,-0.29839139,-0.291
3.4.7_Os-3.4.6_Hg,2,3:4:7,3:4:6,-0.28879277,-0.2776
2_Hg-0_Os,2,2,0,0.12875894,0.824
2.6_Hg-4.6_Os,2,2:6,4:6,0.06820818,0.1528
3.7_Au-2.6_Ir,1,3:7,2:6,0.07148647,0.0911
3.4.7_Re-3.4.6_Tl,3,3:4:7,3:4:6,-0.44819365,-0.4164
3_Ir-4_Au,1,3,4,-0.03234307,-0.0247
3.4.7_Tl-0.2.4_Re,3,3:4:7,0:2:4,-0.02875986,1.4133
0.2_Os-2.6_Hg,2,0:2,2:6,-0.20664185,-0.194
3.7_Re-0.2_Tl,3,3:7,0:2,-2.14404365,-1.3827
4_Os-4_Hg,2,4,4,-0.01043646,-0.0204
0.2.6.7_Ir-2.3.4.6_Au,1,0:2:6:7,2:3:4:6,-0.16807115,-0.2163
2.3.4.6_Tl-2.3.4.6_Re,3,2:3:4:6,2:3:4:6,0.13370894,0.5484
4.7_Ir-3.4_Au,1,4:7,3:4,-0.08361722,-0.0953
6_Re-2_Tl,3,6,2,-0.04031173,-0.1536
6.7_Au-0.3_Ir,1,6:7,0:3,0.23581263,0.5079
6.7_Os-0.2_Hg,2,6:7,0:2,-1.45156944,-0.9408
0.2.3_Re-2.3.6_Tl,3,0:2:3,2:3:6,-0.4737086,-0.5286
0.3.6.7_Hg-0.2.3.6_Os,2,0:3:6:7,0:2:3:6,0.37325109,1.2124
