molid,deltaz,inert,active,delBE_dft,delBE_alc
1.4_Tl-0.1_Re,3,1:4,0:1,-0.01598028,0.942
1.4_Re-1.5_Tl,3,1:4,1:5,-0.14077365,-0.102
0.1_Hg-1.7_Os,2,0:1,1:7,0.07910901,0.1368
0_Re-5_Tl,3,0,5,-0.12816146,-0.1413
0.4_Tl-0.8_Re,3,0:4,0:8,0.05317317,0.9783
0_Re-1_Tl,3,0,1,-0.12018626,-0.1338
0.1.4_Hg-0.1.7_Os,2,0:1:4,0:1:7,0.0997157,0.7112
0.1_Hg-5.8_Os,2,0:1,5:8,0.05156899,0.1364
4_Au-1_Ir,1,4,1,-0.00287169999999,0.00469999999999
4_Ir-5_Au,1,4,5,-0.01342129,-0.0072
0.1.4_Os-0.5.8_Hg,2,0:1:4,0:5:8,-1.43214819,-0.7108
1.4_Au-0.1_Ir,1,1:4,0:1,0.06732373,0.314
1_Hg-1_Os,2,1,1,0.02128722,0.0536
4_Tl-3_Re,3,4,3,-0.03223948,0.00899999999996
1_Ir-0_Au,1,1,0,-0.57964262,-0.3093
1.4_Os-5.7_Hg,2,1:4,5:7,-0.07618662,-0.062
0.1_Tl-3.7_Re,3,0:1,3:7,0.04658527,0.2001
4_Tl-7_Re,3,4,7,-0.03323886,0.00509999999996
0.1_Re-0.3_Tl,3,0:1,0:3,-1.83177619,-1.0566
0_Hg-0_Os,2,0,0,0.04723754,0.6542
4_Re-7_Tl,3,4,7,-0.03456911,-0.00509999999996
0.1_Os-0.1_Hg,2,0:1,0:1,-1.37721369,-0.7078
0.1_Hg-1.8_Os,2,0:1,1:8,0.04985122,0.1314
0.4_Tl-1.8_Re,3,0:4,1:8,0.000308700000005,0.1308
1.4_Au-3.7_Ir,1,1:4,3:7,0.01450213,0.0268
1_Ir-5_Au,1,1,5,-0.02889519,-0.0293
0.1_Os-0.5_Hg,2,0:1,0:5,-1.38767299,-0.7128
1.4_Ir-3.5_Au,1,1:4,3:5,-0.04104164,-0.0323
1_Hg-7_Os,2,1,7,0.01726383,0.0476
