molid,deltaz,inert,active,delBE_dft,delBE_alc
4.8_Re-0.1_Tl,3,4:8,0:1,-2.30637638,-1.3008
8_Au-0_Ir,1,8,0,0.15581267,0.443
1.4.8_Hg-0.1.8_Os,2,1:4:8,0:1:8,0.0331529,0.8998
1.4_Hg-1.4_Os,2,1:4,1:4,0.00233491000003,0.0177999999999
0.4_Hg-4.8_Os,2,0:4,4:8,0.0477187,0.0785999999999
0.1_Os-0.4_Hg,2,0:1,0:4,-1.67416466,-0.9256
4_Ir-4_Au,1,4,4,-0.00976156999999,-0.00369999999998
1.8_Re-1.4_Tl,3,1:8,1:4,0.02373179,-0.1239
0.1.8_Ir-0.1.8_Au,1,0:1:8,0:1:8,-0.73588534,-0.4838
0.8_Ir-0.8_Au,1,0:8,0:8,-0.74348031,-0.4786
4_Au-0_Ir,1,4,0,0.11383521,0.4106
8_Tl-8_Re,3,8,8,0.10644776,0.1023
0_Ir-0_Au,1,0,0,-0.70713549,-0.4445
4_Au-4_Ir,1,4,4,0.0053795,0.00369999999998
0.4_Hg-0.1_Os,2,0:4,0:1,0.03203333,0.8702
1_Tl-1_Re,3,1,1,0.01925793,0.0156
4_Tl-4_Re,3,4,4,-0.00975206999999,0.0110999999999
0_Tl-1_Re,3,0,1,0.04390137,0.0735
4_Os-0_Hg,2,4,0,-1.63835036,-0.8212
4_Os-1_Hg,2,4,1,0.00989508999999,0.0188
1_Tl-8_Re,3,1,8,-0.00292618,0.0489
0_Hg-0_Os,2,0,0,0.0327245,0.889
0.1_Re-1.8_Tl,3,0:1,1:8,-0.10029361,-0.1224
1_Tl-4_Re,3,1,4,0.01160911,0.0548999999999
0.1.8_Au-0.4.8_Ir,1,0:1:8,0:4:8,0.20045147,0.4969
0_Os-4_Hg,2,0,4,-0.05048478,-0.0752
0.1_Os-0.1_Hg,2,0:1,0:1,-1.63497658,-0.8994
0.1_Ir-4.8_Au,1,0:1,4:8,-0.04350371,-0.0539
0.1_Ir-0.4_Au,1,0:1,0:4,-0.71938179,-0.4628
1.4.8_Au-0.1.4_Ir,1,1:4:8,0:1:4,0.1608631,0.4519
4.8_Hg-1.4_Os,2,4:8,1:4,0.06432488,0.0534
0.1_Ir-0.1_Au,1,0:1,0:1,-0.70440064,-0.4497
1.4_Ir-1.8_Au,1,1:4,1:8,-0.01303755,-0.00689999999997
0.4.8_Tl-0.1.4_Re,3,0:4:8,0:1:4,-0.14918146,1.4136
4_Os-8_Hg,2,4,8,-0.01631764,-0.00339999999997
8_Hg-8_Os,2,8,8,0.09211362,0.0682
0.4.8_Au-1.4.8_Ir,1,0:4:8,1:4:8,0.09055155,0.0623
0.1.4_Au-1.4.8_Ir,1,0:1:4,1:4:8,0.05343479,0.0445
0_Au-0_Ir,1,0,0,0.15392503,0.4445
0.1.8_Re-1.4.8_Tl,3,0:1:8,1:4:8,-0.08265035,-0.2307
0.1.4.8_Au-0.1.4.8_Ir,1,0:1:4:8,0:1:4:8,0.1910413,0.4875
1_Au-0_Ir,1,1,0,0.13180651,0.4252
1.4_Tl-0.4_Re,3,1:4,0:4,-0.30025385,1.2867
8_Hg-4_Os,2,8,4,0.09942774,0.0722
0.1_Os-1.8_Hg,2,0:1,1:8,-0.06596894,-0.0816
0.1_Ir-0.8_Au,1,0:1,0:8,-0.7285121,-0.4608
