molid,deltaz,inert,active,delBE_dft,delBE_alc
4_Tl-4_Re,3,4,4,-0.15584097,-0.1113
2.4_Tl-0.4_Re,3,2:4,0:4,0.42061488,1.7676
4_Ir-4_Au,1,4,4,0.0250208,0.0371
0.2_Tl-0.4_Re,3,0:2,0:4,0.40783309,1.8186
2_Au-4_Ir,1,2,4,-0.04146861,-0.00960000000001
0.4_Hg-2.4_Os,2,0:4,2:4,-0.08767254,0.0162
0.2_Ir-0.4_Au,1,0:2,0:4,-0.69501392,-0.6062
2_Re-0_Tl,3,2,0,-2.35900986,-1.8789
2_Ir-4_Au,1,2,4,0.00346883,0.00960000000001
2_Os-4_Hg,2,2,4,-0.05101825,0.0192
0_Ir-0_Au,1,0,0,-0.70345155,-0.6158
2.4_Ir-2.4_Au,1,2:4,2:4,-0.01123985,-0.0186
0.2_Ir-0.2_Au,1,0:2,0:2,-0.7323419,-0.6715
2.4_Os-2.4_Hg,2,2:4,2:4,-0.10992722,-0.0372
2_Tl-2_Re,3,2,2,-0.00334426000001,0.1671
0.2.4_Re-0.2.4_Tl,3,0:2:4,0:2:4,-2.66689602,-1.9032
2.4_Os-0.2_Hg,2,2:4,0:2,-1.60867449,-1.309
2.4_Hg-2.4_Os,2,2:4,2:4,-0.04234246,0.0372
2_Au-0_Ir,1,2,0,0.38514703,0.6263
2.4_Ir-0.2_Au,1,2:4,0:2,-0.72327893,-0.6545
2_Os-0_Hg,2,2,0,-1.48772502,-1.2526
4_Ir-2_Au,1,4,2,-0.03162001,-0.0282
0.4_Os-0.4_Hg,2,0:4,0:4,-1.52267071,-1.1574
4_Au-4_Ir,1,4,4,-0.06562057,-0.0371
4_Au-2_Ir,1,4,2,-0.00174718999997,0.0282
2_Hg-4_Os,2,2,4,-0.09531505,-0.0192
0.4_Au-0.4_Ir,1,0:4,0:4,0.3203754,0.5787
2_Au-2_Ir,1,2,2,0.02376056,0.0557
0.4_Ir-2.4_Au,1,0:4,2:4,0.000533000000019,-0.00809999999998
0.2_Tl-2.4_Re,3,0:2,2:4,-0.15736932,0.1068
0.4_Tl-2.4_Re,3,0:4,2:4,-0.17091069,0.0243
2_Hg-2_Os,2,2,2,0.02435684,0.1114
0.2.4_Ir-0.2.4_Au,1,0:2:4,0:2:4,-0.69505702,-0.6344
0_Os-0_Hg,2,0,0,-1.48842263,-1.2316
4_Os-4_Hg,2,4,4,-0.01949434,0.0742
0_Re-0_Tl,3,0,0,-2.38042095,-1.8474
4_Os-2_Hg,2,4,2,-0.0815825,-0.0564
2.4_Hg-0.2_Os,2,2:4,0:2,0.59389067,1.309
0_Au-0_Ir,1,0,0,0.37018626,0.6158
0.2_Os-0.4_Hg,2,0:2,0:4,-1.54632113,-1.2124
2_Tl-0_Re,3,2,0,0.52846712,1.8789
0.2_Re-0.4_Tl,3,0:2,0:4,-2.55744852,-1.8186
