molid,deltaz,inert,active,delBE_dft,delBE_alc
2.4_Os-2.4_Hg,2,2:4,2:4,-0.18018767,-0.206
2_Hg-0_Os,2,2,0,0.45441322,1.1152
2.4_Au-0.2_Ir,1,2:4,0:2,0.41856695,0.6558
0.2_Au-0.2_Ir,1,0:2,0:2,0.42928543,0.6726
2.4_Ir-2.4_Au,1,2:4,2:4,-0.07806845,-0.103
0.2_Hg-0.4_Os,2,0:2,0:4,0.37241007,1.1092
4_Hg-0_Os,2,4,0,0.39667585,1.066
4_Au-0_Ir,1,4,0,0.29865498,0.533
0.2.4_Au-0.2.4_Ir,1,0:2:4,0:2:4,0.40907328,0.6528
2_Ir-2_Au,1,2,2,-0.10344865,-0.1228
4_Hg-2_Os,2,4,2,0.09946826,0.1964
2.4_Ir-0.4_Au,1,2:4,0:4,-0.64395162,-0.5378
0.2_Au-0.4_Ir,1,0:2,0:4,0.29828522,0.5546
2_Hg-4_Os,2,2,4,-0.06377753,0.00959999999998
0_Au-0_Ir,1,0,0,0.31202506,0.5498
0.4_Hg-2.4_Os,2,0:4,2:4,0.05162511,0.1904
2.4_Hg-2.4_Os,2,2:4,2:4,0.10220301,0.206
2.4_Os-0.4_Hg,2,2:4,0:4,-1.30615694,-1.0756
0_Ir-2_Au,1,0,2,-0.10030842,-0.115
0.4_Os-2.4_Hg,2,0:4,2:4,-0.22350105,-0.1904
2.4_Ir-0.2_Au,1,2:4,0:2,-0.6995216,-0.6558
4_Hg-4_Os,2,4,4,-0.0927698,-0.0396
0.2.4_Os-0.2.4_Hg,2,0:2:4,0:2:4,-1.43522115,-1.3056
0_Au-4_Ir,1,0,4,-0.04089218,-0.00300000000001
4_Os-4_Hg,2,4,4,-0.04065182,0.0396
2.4_Au-0.4_Ir,1,2:4,0:4,0.2896624,0.5378
0.4_Ir-0.4_Au,1,0:4,0:4,-0.64668001,-0.53
0.2_Os-2.4_Hg,2,0:2,2:4,-0.2250746,-0.2396
0_Os-4_Hg,2,0,4,-0.08689684,0.00600000000003
0.4_Au-0.4_Ir,1,0:4,0:4,0.2722647,0.53
0.4_Ir-2.4_Au,1,0:4,2:4,-0.07537495,-0.0952
0_Hg-2_Os,2,0,2,0.10751745,0.23
0.2.4_Ir-0.2.4_Au,1,0:2:4,0:2:4,-0.69083812,-0.6528
0_Ir-0_Au,1,0,0,-0.64974669,-0.5498
0_Os-2_Hg,2,0,2,-0.1799818,-0.23
2.4_Au-2.4_Ir,1,2:4,2:4,0.05973325,0.103
0.2_Au-2.4_Ir,1,0:2,2:4,0.06231118,0.1198
0_Hg-0_Os,2,0,0,0.41953625,1.0996
0.4_Au-2.4_Ir,1,0:4,2:4,0.04334182,0.0952
0.2_Hg-2.4_Os,2,0:2,2:4,0.07811501,0.2396
4_Au-2_Ir,1,4,2,0.06482112,0.0982
2.4_Os-0.2_Hg,2,2:4,0:2,-1.38052356,-1.3116
4_Ir-2_Au,1,4,2,-0.0837504,-0.0982
0.2_Hg-0.2_Os,2,0:2,0:2,0.62999872,1.3452
0.4_Hg-0.4_Os,2,0:4,0:4,0.35248847,1.06
2_Ir-4_Au,1,2,4,-0.01321191,-0.00479999999999
0_Au-2_Ir,1,0,2,0.07601425,0.115
2_Hg-2_Os,2,2,2,0.14781481,0.2456
4_Ir-4_Au,1,4,4,0.00584634999998,0.0198
2.4_Hg-0.4_Os,2,2:4,0:4,0.38111153,1.0756
0.4_Hg-0.2_Os,2,0:4,0:2,0.59800674,1.296
0.2_Ir-0.4_Au,1,0:2,0:4,-0.65708818,-0.5546
0.2_Os-0.4_Hg,2,0:2,0:4,-1.33898349,-1.1092
2_Au-4_Ir,1,2,4,-0.02409371,0.00479999999999
0_Os-0_Hg,2,0,0,-1.27517115,-1.0996
4_Os-0_Hg,2,4,0,-1.24726585,-1.066
2.4_Hg-0.2_Os,2,2:4,0:2,0.6275308,1.3116
2_Au-2_Ir,1,2,2,0.08908694,0.1228
2_Au-0_Ir,1,2,0,0.33102436,0.5576
0_Ir-4_Au,1,0,4,-0.00944301000001,0.00300000000001
4_Ir-0_Au,1,4,0,-0.6380017,-0.533
0.4_Os-0.2_Hg,2,0:4,0:2,-1.42867274,-1.296
0.4_Os-0.4_Hg,2,0:4,0:4,-1.33876094,-1.06
0.2.4_Hg-0.2.4_Os,2,0:2:4,0:2:4,0.56454504,1.3056
2_Os-2_Hg,2,2,2,-0.15861561,-0.2456
0.4_Au-0.2_Ir,1,0:4,0:2,0.40481585,0.648
2_Ir-0_Au,1,2,0,-0.65046556,-0.5576
0.2_Ir-0.2_Au,1,0:2,0:2,-0.71291843,-0.6726
4_Au-4_Ir,1,4,4,-0.04675783,-0.0198
0.4_Ir-0.2_Au,1,0:4,0:2,-0.706617,-0.648
0_Hg-4_Os,2,0,4,-0.1172437,-0.00600000000003
0.2_Ir-2.4_Au,1,0:2,2:4,-0.094999,-0.1198
2_Os-4_Hg,2,2,4,-0.06604901,-0.00959999999998
2_Os-0_Hg,2,2,0,-1.25510735,-1.1152
0.2_Os-0.2_Hg,2,0:2,0:2,-1.41914997,-1.3452
4_Os-2_Hg,2,4,2,-0.14327972,-0.1964
