molid,deltaz,inert,active,delBE_dft,delBE_alc
3_Os-4_Hg,2,3,4,-0.01995684,0.015
0.7_Ir-0.3_Au,1,0:7,0:3,-0.74017057,-0.6614
0_Os-3_Hg,2,0,3,-0.22440207,-0.196
0.6_Au-3.4_Ir,1,0:6,3:4,0.07943914,0.1397
0.2_Ir-4.7_Au,1,0:2,4:7,-0.0567726,-0.05
7_Au-4_Ir,1,7,4,0.03030504,0.0441
3_Ir-7_Au,1,3,7,-0.02999872,-0.0134
0.7_Au-0.4_Ir,1,0:7,0:4,0.35414159,0.5831
3_Tl-6_Re,3,3,6,-0.06995714,0.0225
6_Hg-7_Os,2,6,7,-0.0070059,0.1252
6_Au-2_Ir,1,6,2,0.05672906,0.0584
0_Re-6_Tl,3,0,6,-0.0935823,-0.1041
0_Os-4_Hg,2,0,4,-0.03982921,-0.0394
0.7_Ir-0.2_Au,1,0:7,0:2,-0.62478954,-0.5998
2.3.6_Tl-2.3.4_Re,3,2:3:6,2:3:4,0.03630068,0.4158
0_Ir-4_Au,1,0,4,-0.0136532,-0.0197
0.2_Re-4.7_Tl,3,0:2,4:7,-0.44622317,-0.15
6_Ir-4_Au,1,6,4,-0.0303247,-0.0417
6_Os-3_Hg,2,6,3,-0.22849111,-0.24
0.7_Au-2.3_Ir,1,0:7,2:3,0.08450003,0.1588
0.2.6.7_Hg-2.3.4.7_Os,2,0:2:6:7,2:3:4:7,0.14803367,0.4616
2_Tl-2_Re,3,2,2,0.02945897,0.0783
3_Ir-2_Au,1,3,2,-0.00703558000004,-0.00919999999999
2_Tl-4_Re,3,2,4,-0.05626625,0.0282
3_Au-0_Ir,1,3,0,0.29667893,0.5118
0.2.3_Os-0.4.6_Hg,2,0:2:3,0:4:6,-1.16383328,-1.1118
0.3_Au-4.6_Ir,1,0:3,4:6,-0.01291052,0.0272
0.2.3.7_Os-3.4.6.7_Hg,2,0:2:3:7,3:4:6:7,-0.54295797,-0.3598
3.6_Re-2.3_Tl,3,3:6,2:3,-0.28962414,-0.3876
0.2.7_Hg-0.6.7_Os,2,0:2:7,0:6:7,0.53013427,1.2568
3.6_Hg-4.6_Os,2,3:6,4:6,0.00299577999996,0.0984
0.2.6.7_Os-2.3.6.7_Hg,2,0:2:6:7,2:3:6:7,-0.47855232,-0.4916
6_Tl-6_Re,3,6,6,0.08782014,0.1701
6_Re-3_Tl,3,6,3,-0.28843104,-0.36
2.3.6_Hg-2.3.4_Os,2,2:3:6,2:3:4,0.08637322,0.2772
0.3.6.7_Hg-0.4.6.7_Os,2,0:3:6:7,0:4:6:7,0.51798414,1.3064
0_Ir-6_Au,1,0,6,-0.02206373,-0.0347
6.7_Ir-0.4_Au,1,6:7,0:4,-0.66760231,-0.6051
2.6.7_Re-2.3.7_Tl,3,2:6:7,2:3:7,-0.6895772,-0.6333
0.6_Tl-0.6_Re,3,0:6,0:6,0.63723009,1.7871
3_Hg-6_Os,2,3,6,-0.04044102,0.015
3.6_Hg-0.7_Os,2,3:6,0:7,0.41870942,1.1488
6.7_Tl-2.4_Re,3,6:7,2:4,0.18655876,0.3075
6_Os-0_Hg,2,6,0,-1.08265338,-1.122
0.2_Re-0.6_Tl,3,0:2,0:6,-1.64485489,-1.6902
0.6.7_Au-2.4.7_Ir,1,0:6:7,2:4:7,0.09417693,0.1431
0.7_Hg-2.3_Os,2,0:7,2:3,0.09961865,0.3176
7_Tl-4_Re,3,7,4,0.03418886,0.1323
7_Os-0_Hg,2,7,0,-1.10388531,-1.1268
3_Re-4_Tl,3,3,4,-0.06238163,0.0225
6.7_Re-2.3_Tl,3,6:7,2:3,-0.28533659,-0.5424
3.7_Re-3.7_Tl,3,3:7,3:7,-0.52944333,-0.4074
2.6.7_Re-4.6.7_Tl,3,2:6:7,4:6:7,-0.52516562,-0.3933
2_Au-4_Ir,1,2,4,-0.0187473,0.00939999999999
0.3_Hg-4.6_Os,2,0:3,4:6,-0.05068104,0.0544
2.6_Hg-0.7_Os,2,2:6,0:7,0.44135933,1.1826
0.2.3.7_Re-3.4.6.7_Tl,3,0:2:3:7,3:4:6:7,-1.00132849,-0.5397
6_Hg-6_Os,2,6,6,0.07411988,0.1134
0.6.7_Hg-2.4.7_Os,2,0:6:7,2:4:7,0.14122723,0.2862
0.7_Re-0.3_Tl,3,0:7,0:3,-1.65275192,-1.9842
3.6_Au-3.6_Ir,1,3:6,3:6,0.06326555,0.1275
2_Ir-6_Au,1,2,6,-0.02069611,-0.0244
6.7_Hg-0.3_Os,2,6:7,0:3,0.51317135,1.3668
2.6.7_Os-2.3.7_Hg,2,2:6:7,2:3:7,-0.42101575,-0.4222
0.7_Re-0.2_Tl,3,0:7,0:2,-1.50369905,-1.7994
6_Au-7_Ir,1,6,7,0.01664319,0.0626
0.3.6.7_Re-0.3.4.6_Tl,3,0:3:6:7,0:3:4:6,-1.9679545,-2.1318
2.6.7_Ir-0.2.4_Au,1,2:6:7,0:2:4,-0.63567431,-0.6312
0.2_Os-2.4_Hg,2,0:2,2:4,-0.08139855,-0.0915999999999
