molid,deltaz,inert,active,delBE_dft,delBE_alc
1.4.8_Au-1.5.8_Ir,1,1:4:8,1:5:8,0.02108035,0.0525
0.1_Os-5.8_Hg,2,0:1,5:8,-0.2236492,-0.1192
3.4.8_Tl-0.2.4_Re,3,3:4:8,0:2:4,0.5075052,1.8789
0.1.3.4_Tl-2.3.4.5_Re,3,0:1:3:4,2:3:4:5,-0.23670693,0.1107
0.1_Re-1.5_Tl,3,0:1,1:5,-0.34640219,-0.0593999999999
1.4.8_Ir-2.3.4_Au,1,1:4:8,2:3:4,-0.07897609,-0.0602
0.1.4_Ir-0.1.5_Au,1,0:1:4,0:1:5,-0.63937054,-0.5599
8_Hg-2_Os,2,8,2,0.04951855,0.099
8_Re-3_Tl,3,8,3,-0.14416592,-0.1437
3.4_Au-3.5_Ir,1,3:4,3:5,-0.05402036,-0.027
0.1.3_Au-0.3.4_Ir,1,0:1:3,0:3:4,0.39459685,0.6259
0.3.4.8_Ir-0.2.4.5_Au,1,0:3:4:8,0:2:4:5,-0.70729723,-0.652
0.4_Ir-2.8_Au,1,0:4,2:8,-0.06698026,-0.0404
0.1.3.4_Hg-2.3.4.5_Os,2,0:1:3:4,2:3:4:5,-0.09531097,0.0737999999999
8_Au-4_Ir,1,8,4,0.08071506,0.0857
4.8_Tl-1.5_Re,3,4:8,1:5,-0.17042847,0.0557999999999
4.8_Hg-0.3_Os,2,4:8,0:3,0.44380426,1.176
0.3.4_Tl-0.2.4_Re,3,0:3:4,0:2:4,0.48472548,1.8162
1_Os-3_Hg,2,1,3,-0.07410691,0.00500000000002
0.1.3.4_Tl-1.3.5.8_Re,3,0:1:3:4,1:3:5:8,-0.22331672,0.0914999999999
0.4_Ir-1.3_Au,1,0:4,1:3,-0.03817545,0.00100000000002
0.4_Hg-0.8_Os,2,0:4,0:8,0.46074737,1.207
1_Tl-4_Re,3,1,4,0.02966199,0.1059
3.8_Os-3.5_Hg,2,3:8,3:5,-0.21402051,-0.091
0.8_Ir-5.8_Au,1,0:8,5:8,-0.12722602,-0.11
0.8_Au-1.4_Ir,1,0:8,1:4,0.0864097,0.1093
8_Au-5_Ir,1,8,5,0.03839174,0.0466
3.8_Ir-3.5_Au,1,3:8,3:5,-0.07219247,-0.0455
0.1_Ir-5.8_Au,1,0:1,5:8,-0.08789303,-0.0596
0.4_Re-1.3_Tl,3,0:4,1:3,-0.30423769,0.00300000000006
0.8_Au-0.4_Ir,1,0:8,0:4,0.45513578,0.6774
8_Hg-5_Os,2,8,5,0.03352404,0.0932
1.4_Hg-1.4_Os,2,1:4,1:4,-0.06120625,0.0146
1_Au-1_Ir,1,1,1,-0.02379699,-0.00590000000001
4_Ir-4_Au,1,4,4,-0.02142645,-0.0132
0.3.4.8_Tl-0.2.3.5_Re,3,0:3:4:8,0:2:3:5,0.37120793,1.8426
0.4_Tl-3.5_Re,3,0:4,3:5,-0.15961035,0.00329999999994
8_Ir-0_Au,1,8,0,-0.65477532,-0.6126
1_Au-0_Ir,1,1,0,0.34936345,0.5622
1_Hg-4_Os,2,1,4,0.03022361,0.0706
1_Au-2_Ir,1,1,2,-0.01874513,-0.000900000000016
3_Au-1_Ir,1,3,1,-0.02226744,-0.00450000000001
0.8_Tl-0.4_Re,3,0:8,0:4,0.59546395,2.0322
3.4.8_Ir-0.1.4_Au,1,3:4:8,0:1:4,-0.68185768,-0.6213
3_Os-4_Hg,2,3,4,-0.07766135,-0.0734
3_Hg-8_Os,2,3,8,0.03215492,0.0706
3_Tl-1_Re,3,3,1,-0.09784001,-0.0135
0.1.4.8_Ir-1.2.4.8_Au,1,0:1:4:8,1:2:4:8,-0.12372093,-0.1202
3.4_Au-3.8_Ir,1,3:4,3:8,-0.00959793000001,0.0107
0_Re-5_Tl,3,0,5,-0.21051271,-0.0771
1.3.4_Au-0.1.4_Ir,1,1:3:4,0:1:4,0.3391515,0.5709
0.1.3.4_Au-2.3.4.5_Ir,1,0:1:3:4,2:3:4:5,-0.01426314,0.0369
0.8_Os-5.8_Hg,2,0:8,5:8,-0.27329904,-0.22
3_Re-0_Tl,3,3,0,-1.22489516,-1.6908
1.3.4_Tl-2.3.4_Re,3,1:3:4,2:3:4,-0.13399355,0.0335999999999
3.4_Re-1.3_Tl,3,3:4,1:3,-0.26435468,0.0873
0.8_Ir-0.3_Au,1,0:8,0:3,-0.67575911,-0.6396
4_Tl-2_Re,3,4,2,-0.12161775,-0.069
8_Hg-4_Os,2,8,4,0.13153969,0.1714
3.4_Ir-1.3_Au,1,3:4,1:3,-0.01739693,0.0291
0.1.3.4_Hg-1.2.4.5_Os,2,0:1:3:4,1:2:4:5,-0.12434606,0.0669999999999
0.1_Re-5.8_Tl,3,0:1,5:8,-0.33601485,-0.1788
0.8_Re-0.2_Tl,3,0:8,0:2,-1.39524817,-1.9236
0.3.4.8_Hg-2.4.5.8_Os,2,0:3:4:8,2:4:5:8,0.03632375,0.2474
3.4_Au-1.2_Ir,1,3:4,1:2,-0.0614886,-0.0275
0.1.3.4_Hg-1.3.5.8_Os,2,0:1:3:4,1:3:5:8,-0.07509495,0.0609999999999
1.4.8_Ir-0.2.5_Au,1,1:4:8,0:2:5,-0.66261719,-0.5858
0.8_Re-0.3_Tl,3,0:8,0:3,-1.39101237,-1.9188
1.4.8_Hg-1.5.8_Os,2,1:4:8,1:5:8,-0.04011087,0.105
