molid,deltaz,inert,active,delBE_dft,delBE_alc
0_Au-2_Ir,1,0,2,0.0551696,0.0808
0.2_Hg-0.4_Os,2,0:2,0:4,0.52724565,1.0384
2_Hg-4_Os,2,2,4,-0.07610412,-0.0142
4_Os-0_Hg,2,4,0,-0.87437289,-1.047
0.2_Ir-0.2_Au,1,0:2,0:2,-0.56598282,-0.6196
0.2_Ir-2.4_Au,1,0:2,2:4,-0.04837256,-0.0737
0.2_Tl-2.4_Re,3,0:2,2:4,0.0183275,0.2211
2.4_Tl-0.4_Re,3,2:4,0:4,0.7023145,1.5492
2.4_Hg-2.4_Os,2,2:4,2:4,0.08567099,0.1418
0.2_Au-2.4_Ir,1,0:2,2:4,0.03023237,0.0737
2.4_Tl-0.2_Re,3,2:4,0:2,0.98736646,1.8504
2_Au-2_Ir,1,2,2,0.06836342,0.0933
0.4_Hg-0.2_Os,2,0:4,0:2,0.76321376,1.2086
0.2.4_Os-0.2.4_Hg,2,0:2:4,0:2:4,-0.96867086,-1.1944
2.4_Au-0.2_Ir,1,2:4,0:2,0.46439514,0.6168
0_Ir-4_Au,1,0,4,0.00654641999998,0.0196
0.4_Hg-2.4_Os,2,0:4,2:4,0.03359132,0.1168
4_Os-2_Hg,2,4,2,-0.07121132,-0.156
0.4_Os-0.2_Hg,2,0:4,0:2,-0.95997845,-1.2086
0.2_Os-0.4_Hg,2,0:2,0:4,-0.94150301,-1.0384
0.2.4_Re-0.2.4_Tl,3,0:2:4,0:2:4,-1.39414915,-1.7916
2_Tl-4_Re,3,2,4,-0.10428947,-0.0213
2.4_Au-2.4_Ir,1,2:4,2:4,0.04085421,0.0709
2.4_Re-2.4_Tl,3,2:4,2:4,-0.22598606,-0.2127
0.2_Tl-0.4_Re,3,0:2,0:4,0.6579422,1.5576
2.4_Ir-0.4_Au,1,2:4,0:4,-0.53824421,-0.5164
2_Hg-2_Os,2,2,2,0.12322186,0.1866
0.2_Hg-2.4_Os,2,0:2,2:4,0.03642608,0.1474
0.4_Au-0.2_Ir,1,0:4,0:2,0.45015107,0.6043
0.2_Re-2.4_Tl,3,0:2,2:4,-0.28040792,-0.2211
0_Hg-2_Os,2,0,2,0.08389916,0.1616
0_Os-0_Hg,2,0,0,-0.88223009,-1.0526
0_Au-4_Ir,1,0,4,-0.04859099,-0.0196
0.2_Tl-0.2_Re,3,0:2,0:2,0.94717524,1.8588
0.4_Re-0.4_Tl,3,0:4,0:4,-1.23349407,-1.5117
0.2_Ir-0.4_Au,1,0:2,0:4,-0.53963569,-0.5192
0_Hg-4_Os,2,0,4,-0.12444833,-0.0392
2.4_Os-0.4_Hg,2,2:4,0:4,-0.92233057,-1.0328
2.4_Tl-2.4_Re,3,2:4,2:4,0.08478954,0.2127
2.4_Re-0.4_Tl,3,2:4,0:4,-1.23185725,-1.5492
2_Tl-0_Re,3,2,0,0.80428841,1.6164
2_Os-2_Hg,2,2,2,-0.09952729,-0.1866
0.4_Au-2.4_Ir,1,0:4,2:4,0.02391505,0.0584
2_Au-4_Ir,1,2,4,-0.03378115,-0.00710000000001
0_Tl-2_Re,3,0,2,0.08398808,0.2424
0.2_Au-0.2_Ir,1,0:2,0:2,0.46334811,0.6196
2_Re-0_Tl,3,2,0,-1.12514271,-1.6164
2.4_Os-0.2_Hg,2,2:4,0:2,-0.94788745,-1.2336
0.2_Os-0.2_Hg,2,0:2,0:2,-0.97230135,-1.2392
2_Au-0_Ir,1,2,0,0.38523953,0.5388
0.2.4_Tl-0.2.4_Re,3,0:2:4,0:2:4,0.86822869,1.7916
2.4_Ir-2.4_Au,1,2:4,2:4,-0.04179191,-0.0709
2.4_Au-0.4_Ir,1,2:4,0:4,0.34432579,0.5164
2.4_Ir-0.2_Au,1,2:4,0:2,-0.56430728,-0.6168
0.4_Re-0.2_Tl,3,0:4,0:2,-1.26835229,-1.8129
0_Os-2_Hg,2,0,2,-0.09293668,-0.1616
4_Hg-4_Os,2,4,4,-0.081669,-0.0448
2_Ir-4_Au,1,2,4,-0.00465457000001,0.00710000000001
4_Ir-4_Au,1,4,4,0.01343936,0.0224
0.2.4_Ir-0.2.4_Au,1,0:2:4,0:2:4,-0.5364243,-0.5972
2_Ir-0_Au,1,2,0,-0.55301256,-0.5388
4_Hg-2_Os,2,4,2,0.10215482,0.156
0.2.4_Au-0.2.4_Ir,1,0:2:4,0:2:4,0.4414946,0.5972
4_Tl-2_Re,3,4,2,0.12440555,0.234
0.2_Re-0.2_Tl,3,0:2,0:2,-1.29062685,-1.8588
0.4_Os-0.4_Hg,2,0:4,0:4,-0.92064178,-1.0078
0.2_Au-0.4_Ir,1,0:2,0:4,0.34315908,0.5192
0_Ir-0_Au,1,0,0,-0.54199771,-0.5263
2_Hg-0_Os,2,2,0,0.62797297,1.0776
0.4_Ir-0.2_Au,1,0:4,0:2,-0.55975087,-0.6043
0.4_Tl-0.2_Re,3,0:4,0:2,0.94697455,1.8129
0.2_Hg-0.2_Os,2,0:2,0:2,0.7708986,1.2392
4_Os-4_Hg,2,4,4,-0.02019436,0.0448
2.4_Hg-0.2_Os,2,2:4,0:2,0.79574087,1.2336
4_Hg-0_Os,2,4,0,0.59281417,1.047
0_Os-4_Hg,2,0,4,-0.05306234,0.0392
0.4_Os-2.4_Hg,2,0:4,2:4,-0.11078909,-0.1168
4_Tl-4_Re,3,4,4,-0.101067,-0.0672
2_Os-0_Hg,2,2,0,-0.89424131,-1.0776
0_Re-2_Tl,3,0,2,-0.13412684,-0.2424
0.4_Au-0.4_Ir,1,0:4,0:4,0.32851065,0.5039
2.4_Hg-0.4_Os,2,2:4,0:4,0.55595419,1.0328
0.2_Re-0.4_Tl,3,0:2,0:4,-1.27906006,-1.5576
0.4_Ir-0.4_Au,1,0:4,0:4,-0.52942099,-0.5039
4_Ir-0_Au,1,4,0,-0.54181799,-0.5235
0.4_Re-2.4_Tl,3,0:4,2:4,-0.25148435,-0.1752
2_Os-4_Hg,2,2,4,-0.06019727,0.0142
4_Au-2_Ir,1,4,2,0.05651935,0.078
4_Re-2_Tl,3,4,2,-0.08407141,-0.234
4_Au-4_Ir,1,4,4,-0.04323217,-0.0224
0.2.4_Hg-0.2.4_Os,2,0:2:4,0:2:4,0.7046287,1.1944
2.4_Os-2.4_Hg,2,2:4,2:4,-0.10490159,-0.1418
4_Au-0_Ir,1,4,0,0.36402706,0.5235
2.4_Re-0.2_Tl,3,2:4,0:2,-1.24245469,-1.8504
0_Au-0_Ir,1,0,0,0.36903484,0.5263
0.4_Ir-2.4_Au,1,0:4,2:4,-0.02896582,-0.0584
0.4_Tl-2.4_Re,3,0:4,2:4,0.00652485999998,0.1752
0.2_Os-2.4_Hg,2,0:2,2:4,-0.13764842,-0.1474
0_Hg-0_Os,2,0,0,0.59861861,1.0526
0.4_Hg-0.4_Os,2,0:4,0:4,0.52593033,1.0078
0.4_Tl-0.4_Re,3,0:4,0:4,0.67258216,1.5117
4_Ir-2_Au,1,4,2,-0.05294432,-0.078
2_Re-2_Tl,3,2,2,-0.113474,-0.2799
2_Ir-2_Au,1,2,2,-0.07048263,-0.0933
