molid,deltaz,inert,active,delBE_dft,delBE_alc
0_Ir-2_Au,1,0,2,0.01091099,-0.00439999999999
0_Tl-7_Re,3,0,7,-0.157895,0.0458999999999
0.6.7_Hg-0.3.7_Os,2,0:6:7,0:3:7,0.54157445,1.1028
0.3_Re-2.4_Tl,3,0:3,2:4,-0.05033292,0.0168
0.6_Ir-3.6_Au,1,0:6,3:6,-0.0302937,-0.0899
3_Re-6_Tl,3,3,6,9.24499999826e-05,0.0744
3.6.7_Au-0.3.7_Ir,1,3:6:7,0:3:7,0.34155462,0.5301
3.6.7_Tl-2.3.6_Re,3,3:6:7,2:3:6,0.21864556,0.3009
6.7_Os-0.2_Hg,2,6:7,0:2,-0.55098608,-0.9528
6_Ir-7_Au,1,6,7,-0.05997046,-0.0446
7_Tl-6_Re,3,7,6,0.05139512,0.0713999999999
6.7_Au-2.4_Ir,1,6:7,2:4,0.07826402,0.0723
0.6_Hg-0.3_Os,2,0:6,0:3,0.54806249,1.0176
6.7_Hg-2.4_Os,2,6:7,2:4,0.15823608,0.1446
6_Os-7_Hg,2,6,7,-0.18229104,-0.0892
0_Re-3_Tl,3,0,3,-0.13641334,-0.1923
6.7_Ir-3.6_Au,1,6:7,3:6,-0.05606553,-0.1172
0.3_Re-0.4_Tl,3,0:3,0:4,-0.64901806,-1.2162
3.7_Os-2.6_Hg,2,3:7,2:6,0.0195,-0.0137999999999
7_Hg-6_Os,2,7,6,0.04144778,0.0476
0.3_Ir-0.4_Au,1,0:3,0:4,-0.38983224,-0.4054
3.6.7_Re-0.4.6_Tl,3,3:6:7,0:4:6,-0.78413938,-1.3755
0.3.6.7_Ir-0.2.3.7_Au,1,0:3:6:7,0:2:3:7,-0.46968002,-0.5345
6_Re-2_Tl,3,6,2,0.00824956,-0.1011
6_Au-4_Ir,1,6,4,0.03237304,0.0406
3.6_Re-3.7_Tl,3,3:6,3:7,-0.41480786,-0.2622
6_Os-2_Hg,2,6,2,-0.00251062999999,-0.0674
0_Au-6_Ir,1,0,6,-0.01155905,-0.00350000000002
3.7_Ir-0.7_Au,1,3:7,0:7,-0.45273889,-0.4367
3_Re-0_Tl,3,3,0,-0.59007016,-1.1823
0.3.6_Au-2.3.4_Ir,1,0:3:6,2:3:4,0.04745799,0.0878
0.3.6.7_Ir-0.2.6.7_Au,1,0:3:6:7,0:2:6:7,-0.39137225,-0.4669
0_Tl-6_Re,3,0,6,-0.02487063,-0.0105000000001
6.7_Re-3.6_Tl,3,6:7,3:6,-0.15443337,-0.3516
3.7_Re-2.6_Tl,3,3:7,2:6,-0.00270885,-0.0206999999999
6_Tl-0_Re,3,6,0,0.70852311,1.3341
0.3_Ir-0.6_Au,1,0:3,0:6,-0.34791918,-0.3906
0.3.7_Hg-4.6.7_Os,2,0:3:7,4:6:7,-0.04372517,0.0581999999999
3.6.7_Ir-0.2.4_Au,1,3:6:7,0:2:4,-0.38974153,-0.4664
3.7_Ir-2.6_Au,1,3:7,2:6,0.0105715,-0.00689999999997
6_Hg-4_Os,2,6,4,0.05244932,0.0812
6_Re-3_Tl,3,6,3,-0.15421503,-0.2802
6_Tl-4_Re,3,6,4,0.06683975,0.1218
3.7_Re-0.7_Tl,3,3:7,0:7,-0.78669726,-1.3101
0.6_Au-2.3_Ir,1,0:6,2:3,0.06635488,0.0978
7_Hg-3_Os,2,7,3,0.11462877,0.1828
3.6_Tl-0.4_Re,3,3:6,0:4,0.64012908,1.3041
3_Au-7_Ir,1,3,7,-0.04847593,-0.00600000000001
3.7_Os-0.7_Hg,2,3:7,0:7,-0.67314304,-0.8734
7_Au-4_Ir,1,7,4,0.03209063,0.0386
0.6.7_Os-0.2.3_Hg,2,0:6:7,0:2:3,-0.59735097,-1.081
6.7_Ir-4.7_Au,1,6:7,4:7,-0.07832171,-0.0832
0.6_Tl-2.3_Re,3,0:6,2:3,0.16580087,0.2934
0_Os-6_Hg,2,0,6,0.01142873,0.00700000000003
0.7_Au-0.2_Ir,1,0:7,0:2,0.35509544,0.4471
3.6.7_Tl-0.3.7_Re,3,3:6:7,0:3:7,0.68857726,1.5903
0.6_Os-3.6_Hg,2,0:6,3:6,-0.10114953,-0.1798
7_Hg-2_Os,2,7,2,0.08452963,0.0634
0.7_Os-2.4_Hg,2,0:7,2:4,-0.01485945,-0.086
7_Au-2_Ir,1,7,2,0.04106964,0.0317
0.3.6.7_Os-0.2.6.7_Hg,2,0:3:6:7,0:2:6:7,-0.70315248,-0.9338
0.3.6.7_Os-0.2.3.7_Hg,2,0:3:6:7,0:2:3:7,-0.71048178,-1.069
0.6.7_Hg-0.3.6_Os,2,0:6:7,0:3:6,0.68725075,1.0652
3_Hg-2_Os,2,3,2,-0.02111755,-0.0338
3.7_Hg-2.3_Os,2,3:7,2:3,0.07813121,0.149
3_Os-0_Hg,2,3,0,-0.53782589,-0.7882
0.6_Tl-3.4_Re,3,0:6,3:4,0.09699211,0.3141
3_Hg-7_Os,2,3,7,-0.13053904,-0.012
3_Os-4_Hg,2,3,4,-0.00294730000002,0.02
0_Au-4_Ir,1,0,4,-0.00140499000003,0.0113
3.6.7_Ir-2.3.4_Au,1,3:6:7,2:3:4,-0.04641215,-0.1151
3.6.7_Os-0.4.6_Hg,2,3:6:7,0:4:6,-0.61469147,-0.917
0_Hg-6_Os,2,0,6,-0.02201202,-0.00700000000003
3.7_Tl-3.4_Re,3,3:7,3:4,0.05042277,0.2442
0.7_Re-2.4_Tl,3,0:7,2:4,-0.07155868,-0.129
3.7_Au-2.3_Ir,1,3:7,2:3,0.04868779,0.0745
0.6_Au-2.7_Ir,1,0:6,2:7,0.01624518,0.049
0.3_Re-0.6_Tl,3,0:3,0:6,-0.69421756,-1.1718
0.6_Ir-3.7_Au,1,0:6,3:7,-0.10482134,-0.1087
3.6_Au-0.6_Ir,1,3:6,0:6,0.32322845,0.4199
3_Os-6_Hg,2,3,6,0.02770291,0.0496
3_Ir-6_Au,1,3,6,0.02513783,0.0248
3.6.7_Os-0.2.4_Hg,2,3:6:7,0:2:4,-0.55908778,-0.9328
0.6.7_Tl-0.3.7_Re,3,0:6:7,0:3:7,0.72318085,1.6542
0_Re-2_Tl,3,0,2,0.02935519,-0.0132
3_Os-3_Hg,2,3,3,-0.0577571,-0.0856
0.3.7_Os-2.3.7_Hg,2,0:3:7,2:3:7,-0.20601968,-0.1796
0.3.6.7_Tl-0.2.3.6_Re,3,0:3:6:7,0:2:3:6,0.89002741,1.5471
6_Au-3_Ir,1,6,3,0.06424018,0.0934
7_Hg-7_Os,2,7,7,-0.01596701,0.0852
3_Re-4_Tl,3,3,4,-0.03627723,0.03
0_Au-7_Ir,1,0,7,-0.02781523,0.0153
3.7_Hg-3.4_Os,2,3:7,3:4,0.07435344,0.1628
0.3.6.7_Au-0.2.3.6_Ir,1,0:3:6:7,0:2:3:6,0.39694724,0.5157
0_Hg-4_Os,2,0,4,-0.0146779,0.0226
0.3.6.7_Re-0.2.3.7_Tl,3,0:3:6:7,0:2:3:7,-0.85388694,-1.6035
0.3_Ir-2.4_Au,1,0:3,2:4,0.02418936,0.00560000000002
6.7_Tl-2.4_Re,3,6:7,2:4,0.19292755,0.2169
3.6_Hg-0.6_Os,2,3:6,0:6,0.5462136,0.8398
6_Au-0_Ir,1,6,0,0.32785629,0.4447
3.6_Os-3.7_Hg,2,3:6,3:7,-0.24568048,-0.1748
7_Tl-4_Re,3,7,4,0.05406304,0.1158
0.6.7_Ir-0.2.3_Au,1,0:6:7,0:2:3,-0.44772189,-0.5405
0.6.7_Au-0.3.7_Ir,1,0:6:7,0:3:7,0.35573484,0.5514
0.6.7_Au-0.4.6_Ir,1,0:6:7,0:4:6,0.37824654,0.4798
0.7_Ir-2.4_Au,1,0:7,2:4,-0.01016829,-0.043
6.7_Os-4.7_Hg,2,6:7,4:7,-0.19408137,-0.1664
3.7_Au-3.6_Ir,1,3:7,3:6,0.05133277,0.0666
3.7_Tl-3.6_Re,3,3:7,3:6,0.12271633,0.1998
7_Au-7_Ir,1,7,7,0.00834439000002,0.0426
0.3.6.7_Re-0.2.6.7_Tl,3,0:3:6:7,0:2:6:7,-0.99360239,-1.4007
6.7_Tl-3.4_Re,3,6:7,3:4,0.17251954,0.396
0_Ir-6_Au,1,0,6,0.01351078,0.00350000000002
3.6.7_Ir-0.4.6_Au,1,3:6:7,0:4:6,-0.39449932,-0.4585
3_Ir-4_Au,1,3,4,0.00772051000001,0.01
7_Re-0_Tl,3,7,0,-0.60706603,-1.3281
0_Hg-7_Os,2,0,7,-0.09004002,0.0306
0.7_Tl-0.2_Re,3,0:7,0:2,0.75472393,1.3413
3.6_Hg-0.4_Os,2,3:6,0:4,0.4830781,0.8694
0.6_Hg-4.7_Os,2,0:6,4:7,-0.01888307,0.1118
0.3.6.7_Tl-0.3.4.6_Re,3,0:3:6:7,0:3:4:6,0.83533105,1.5678
6.7_Os-3.6_Hg,2,6:7,3:6,-0.09402619,-0.2344
0.6_Hg-3.4_Os,2,0:6,3:4,0.08993485,0.2094
