molid,deltaz,inert,active,delBE_dft,delBE_alc
0.1.8_Hg-0.3.4_Os,2,0:1:8,0:3:4,0.29582917,0.2852
0.1.8_Os-0.1.4_Hg,2,0:1:8,0:1:4,-0.09947586,-0.29
0.8_Os-0.4_Hg,2,0:8,0:4,-0.09201965,-0.3198
0.1_Ir-0.1_Au,1,0:1,0:1,-0.07634623,-0.1206
0_Au-4_Ir,1,0,4,0.00431543999997,0.0121
0.4_Tl-0.4_Re,3,0:4,0:4,0.40177867,0.3849
8_Os-0_Hg,2,8,0,-0.05421132,-0.2956
8_Ir-1_Au,1,8,1,-0.01507324,-0.00779999999999
0_Tl-4_Re,3,0,4,-0.00332402000001,0.0363
8_Hg-4_Os,2,8,4,0.03392546,0.0488
0.1_Ir-0.4_Au,1,0:1,0:4,-0.0923733,-0.1372
4_Re-1_Tl,3,4,1,-0.0055433,0.0714
0_Os-3_Hg,2,0,3,-0.03461365,0.0138
1.8_Ir-0.4_Au,1,1:8,0:4,-0.10368057,-0.1495
1_Ir-4_Au,1,1,4,-0.01139471,-0.00169999999999
4_Os-0_Hg,2,4,0,-0.03204674,-0.2324
4.8_Hg-0.4_Os,2,4:8,0:4,0.30336716,0.2812
1_Ir-1_Au,1,1,1,0.00612965999997,0.0149
0.1.4_Hg-1.3.4_Os,2,0:1:4,1:3:4,-0.07824034,-0.0580000000001
0.1.4.8_Hg-0.1.3.4_Os,2,0:1:4:8,0:1:3:4,0.24743881,0.2376
0.1.8_Au-0.3.4_Ir,1,0:1:8,0:3:4,0.15845006,0.1426
1.4_Hg-1.3_Os,2,1:4,1:3,-0.0775603,-0.0822000000001
0.1.4_Tl-0.1.3_Re,3,0:1:4,0:1:3,0.31318756,0.2832
0.1_Os-0.3_Hg,2,0:1,0:3,-0.06870494,-0.2364
0.4_Au-3.4_Ir,1,0:4,3:4,-0.022877,-0.0141
4.8_Os-0.1_Hg,2,4:8,0:1,-0.05078773,-0.248
0.1.4_Au-0.1.3_Ir,1,0:1:4,0:1:3,0.1022433,0.0944
1.4_Tl-0.3_Re,3,1:4,0:3,0.35116819,0.2967
