molid,deltaz,inert,active,delBE_dft,delBE_alc
1_Hg-5_Os,2,1,5,-0.01148464,0.0342
5.7_Tl-4.7_Re,3,5:7,4:7,-0.05215958,0.0723
3_Re-5_Tl,3,3,5,-0.12059339,-0.138
0_Re-3_Tl,3,0,3,-1.44076406,-2.0172
1.5.7_Hg-2.5.6_Os,2,1:5:7,2:5:6,-0.05745326,-0.0248000000001
3_Tl-7_Re,3,3,7,0.01065007,0.141
6_Ir-5_Au,1,6,5,-0.02200126,-0.0276
0.2.5_Hg-0.4.7_Os,2,0:2:5,0:4:7,0.28357699,0.3824
3.5.7_Hg-2.3.5_Os,2,3:5:7,2:3:5,0.8318715,1.402
2.3_Hg-2.4_Os,2,2:3,2:4,0.11982616,0.1718
0.3.6.7_Ir-0.2.5.6_Au,1,0:3:6:7,0:2:5:6,-0.09618961,-0.1251
2.5.7_Os-4.5.6_Hg,2,2:5:7,4:5:6,0.01043684,-0.0643999999999
0.1_Ir-0.3_Au,1,0:1,0:3,-0.80994011,-0.7639
0.2.5_Ir-0.1.4_Au,1,0:2:5,0:1:4,-0.12496028,-0.1706
1.5.6.7_Ir-0.3.4.6_Au,1,1:5:6:7,0:3:4:6,-0.74545277,-0.7309
0.1_Os-1.4_Hg,2,0:1,1:4,-0.13457459,-0.0542
0.2.5_Re-0.3.4_Tl,3,0:2:5,0:3:4,-1.2735178,-2.4804
3_Re-0_Tl,3,3,0,-0.10731894,-0.3612
0.1.5_Tl-1.4.7_Re,3,0:1:5,1:4:7,-0.10388183,0.1719
0_Au-0_Ir,1,0,0,0.10130676,0.1102
0.1.7_Tl-0.3.5_Re,3,0:1:7,0:3:5,1.3096614,2.292
0.2.6_Au-0.5.6_Ir,1,0:2:6,0:5:6,0.12786244,0.1469
6_Au-0_Ir,1,6,0,0.08498204,0.102
3.5_Ir-3.6_Au,1,3:5,3:6,-0.72147655,-0.6639
7_Os-7_Hg,2,7,7,-0.0227285,-0.00219999999999
2.3.5_Au-2.3.6_Ir,1,2:3:5,2:3:6,0.52015778,0.71
0.3.5_Os-1.6.7_Hg,2,0:3:5,1:6:7,-0.17214765,-0.0889999999999
0.1.3.5_Hg-2.3.4.7_Os,2,0:1:3:5,2:3:4:7,0.86363538,1.4972
1_Au-6_Ir,1,1,6,-0.04020152,-0.0308
0.2.5_Au-0.4.7_Ir,1,0:2:5,0:4:7,0.17666907,0.1912
2.3.5_Au-3.4.7_Ir,1,2:3:5,3:4:7,0.59179932,0.7636
3.6_Au-1.7_Ir,1,3:6,1:7,0.00883421999998,0.055
7_Ir-3_Au,1,7,3,-0.72686771,-0.6367
1.2_Ir-4.6_Au,1,1:2,4:6,-0.00502976999999,-0.02
1.2.3.5_Au-2.3.4.5_Ir,1,1:2:3:5,2:3:4:5,0.57651266,0.7688
1_Au-5_Ir,1,1,5,0.000991840000012,0.0171
0.3_Re-2.6_Tl,3,0:3,2:6,-0.12189556,-0.0689999999999
1.2.3_Tl-0.4.5_Re,3,1:2:3,0:4:5,0.40339004,0.5649
1.5.6.7_Hg-0.2.3.4_Os,2,1:5:6:7,0:2:3:4,0.99828901,1.5358
0_Re-1_Tl,3,0,1,-0.1752256,-0.0486
3.5.6_Tl-0.4.5_Re,3,3:5:6,0:4:5,0.3196194,0.513
0.3.6.7_Os-0.2.5.6_Hg,2,0:3:6:7,0:2:5:6,-0.20169857,-0.2502
1.2.3.5_Au-0.1.3.4_Ir,1,1:2:3:5,0:1:3:4,0.64127665,0.8345
1.2.3_Hg-1.5.7_Os,2,1:2:3,1:5:7,0.05596557,0.203
0_Ir-1_Au,1,0,1,-0.02988579,-0.0162
0.1.2_Tl-2.5.7_Re,3,0:1:2,2:5:7,0.04366884,0.3
1.2_Au-6.7_Ir,1,1:2,6:7,0.0218528,0.0272
1.2.3.5_Hg-0.1.3.4_Os,2,1:2:3:5,0:1:3:4,1.0384834,1.669
1.3.5.7_Os-0.1.4.5_Hg,2,1:3:5:7,0:1:4:5,-0.30977743,-0.282
1_Re-7_Tl,3,1,7,-0.10370423,-0.0543
0.2_Re-0.4_Tl,3,0:2,0:4,-0.08093215,-0.483
1.2.3.5_Tl-2.3.4.5_Re,3,1:2:3:5,2:3:4:5,1.15830995,2.3064
0.6_Hg-1.2_Os,2,0:6,1:2,-0.05525693,0.0657999999999
1.2_Re-5.6_Tl,3,1:2,5:6,-0.04712511,-0.0785999999999
3.5_Au-2.4_Ir,1,3:5,2:4,0.03813833,0.0581
1.5.6.7_Au-0.2.3.4_Ir,1,1:5:6:7,0:2:3:4,0.56564042,0.7679
5.7_Tl-0.6_Re,3,5:7,0:6,0.18481824,0.1674
2_Hg-0_Os,2,2,0,0.24832195,0.2628
2.3.5.7_Tl-0.3.4.6_Re,3,2:3:5:7,0:3:4:6,1.44113027,2.3676
1_Hg-4_Os,2,1,4,-0.000630339999987,0.0218
1_Tl-5_Re,3,1,5,-0.02980529,0.0513
0.1.2_Hg-2.5.7_Os,2,0:1:2,2:5:7,0.06679245,0.2
0_Ir-3_Au,1,0,3,-0.75146255,-0.6724
0.7_Ir-1.5_Au,1,0:7,1:5,-0.02326714,-0.0163
5_Tl-7_Re,3,5,7,-0.00473833999999,0.0906
1.6.7_Ir-0.4.5_Au,1,1:6:7,0:4:5,-0.07528923,-0.113
2.3.5_Au-1.2.5_Ir,1,2:3:5,1:2:5,0.06826906,0.1017
3_Os-0_Hg,2,3,0,-0.11581134,-0.2408
5.6_Re-2.4_Tl,3,5:6,2:4,-0.11238338,-0.1191
0.7_Tl-0.5_Re,3,0:7,0:5,0.2464409,0.3309
3.5.6_Au-0.4.5_Ir,1,3:5:6,0:4:5,0.14021712,0.171
1.2_Os-4.6_Hg,2,1:2,4:6,-0.00021326000001,-0.04
7_Hg-4_Os,2,7,4,-0.02065077,-0.0122
1.3_Au-2.3_Ir,1,1:3,2:3,0.50231651,0.6888
0_Re-6_Tl,3,0,6,-0.00300816999999,0.0363000000001
3_Au-3_Ir,1,3,3,0.51901832,0.6826
2_Tl-3_Re,3,2,3,1.18650906,2.0808
1.3.5.7_Ir-0.1.3.6_Au,1,1:3:5:7,0:1:3:6,-0.77887228,-0.7359
1.2_Au-0.5_Ir,1,1:2,0:5,0.14252668,0.1485
2.3_Tl-1.5_Re,3,2:3,1:5,0.01617323,0.2502
2.5.7_Re-4.5.6_Tl,3,2:5:7,4:5:6,-0.07984482,-0.0965999999999
2_Au-0_Ir,1,2,0,0.13660324,0.1314
2.3.5_Hg-2.3.6_Os,2,2:3:5,2:3:6,0.90880476,1.42
5_Hg-7_Os,2,5,7,0.01313321,0.0604
0.2_Os-0.4_Hg,2,0:2,0:4,-0.11235761,-0.322
2.3_Tl-2.4_Re,3,2:3,2:4,0.12915627,0.2577
3_Tl-3_Re,3,3,3,1.17855429,2.0478
3.6_Au-2.5_Ir,1,3:6,2:5,0.02768541,0.0627
0.7_Au-0.5_Ir,1,0:7,0:5,0.08772196,0.1103
0.1.7_Tl-1.6.7_Re,3,0:1:7,1:6:7,-0.19486932,-0.0405000000001
2.3_Au-1.5_Ir,1,2:3,1:5,0.05967614,0.0834
6_Re-6_Tl,3,6,6,0.00252011000001,0.0609000000001
1.5_Re-2.7_Tl,3,1:5,2:7,-0.15459182,-0.1092
5_Hg-5_Os,2,5,5,0.02152366,0.0584
2.3.5.7_Au-0.3.4.6_Ir,1,2:3:5:7,0:3:4:6,0.58900714,0.7892
1_Os-7_Hg,2,1,7,-0.06508139,-0.0362
1.6.7_Os-0.4.5_Hg,2,1:6:7,0:4:5,-0.15523991,-0.226
1.2_Ir-0.2_Au,1,1:2,0:2,-0.11178103,-0.1376
1.3.5.7_Os-0.1.3.6_Hg,2,1:3:5:7,0:1:3:6,-1.18301076,-1.4718
0.1.2_Au-2.5.7_Ir,1,0:1:2,2:5:7,0.0763919,0.1
0.2_Re-2.4_Tl,3,0:2,2:4,-0.09766865,-0.2271
5.7_Ir-0.7_Au,1,5:7,0:7,-0.08823968,-0.1047
0.1.7_Re-1.2.7_Tl,3,0:1:7,1:2:7,-0.32234098,-0.0704999999999
5_Tl-5_Re,3,5,5,0.01835807,0.0876
5_Au-7_Ir,1,5,7,0.01501364,0.0302
2.3.5_Tl-3.4.7_Re,3,2:3:5,3:4:7,1.19580664,2.2908
0.7_Hg-5.7_Os,2,0:7,5:7,-0.01515627,0.0737999999999
0.1_Ir-1.4_Au,1,0:1,1:4,-0.03202675,-0.0271
0.1.3.5_Tl-2.3.4.7_Re,3,0:1:3:5,2:3:4:7,1.13784448,2.2458
7_Os-3_Hg,2,7,3,-1.21162109,-1.2734
0_Hg-0_Os,2,0,0,0.18380904,0.2204
1.2_Ir-5.6_Au,1,1:2,5:6,-0.01174752,-0.0262
7_Ir-7_Au,1,7,7,-0.00811496,-0.00109999999999
0.2.6_Tl-0.5.6_Re,3,0:2:6,0:5:6,0.35174315,0.4407
5_Hg-6_Os,2,5,6,-0.0492367,-0.0374
2_Au-3_Ir,1,2,3,0.5301382,0.6936
3_Ir-0_Au,1,3,0,-0.0928791,-0.1204
3_Os-5_Hg,2,3,5,-0.07871838,-0.092
2.3.5_Hg-1.2.5_Os,2,2:3:5,1:2:5,0.05722331,0.2034
1.2_Hg-0.5_Os,2,1:2,0:5,0.25689317,0.297
0_Os-1_Hg,2,0,1,-0.10557628,-0.0324
5.6_Ir-2.4_Au,1,5:6,2:4,-0.02922988,-0.0397
7_Ir-0_Au,1,7,0,-0.05834117,-0.0745
0.3.5.7_Au-1.2.3.6_Ir,1,0:3:5:7,1:2:3:6,0.45802461,0.6693
2.3.5_Tl-1.2.5_Re,3,2:3:5,1:2:5,0.02647757,0.3051
0_Os-3_Hg,2,0,3,-1.25050957,-1.3448
0.1.6_Ir-0.2.5_Au,1,0:1:6,0:2:5,-0.1238827,-0.144
0.7_Hg-0.5_Os,2,0:7,0:5,0.16158203,0.2206
1.2.3.5_Hg-2.3.4.5_Os,2,1:2:3:5,2:3:4:5,0.90309656,1.5376
1.2_Re-4.6_Tl,3,1:2,4:6,-0.00465158999998,-0.0599999999999
0.3.5_Re-1.6.7_Tl,3,0:3:5,1:6:7,-0.30037001,-0.1335
2.5.7_Ir-3.6.7_Au,1,2:5:7,3:6:7,-0.73510431,-0.676
0.3_Os-2.6_Hg,2,0:3,2:6,-0.06485222,-0.0459999999999
0.1.3.5_Tl-0.2.4.6_Re,3,0:1:3:5,0:2:4:6,0.25911966,0.4125
3.6_Hg-1.3_Os,2,3:6,1:3,0.83869758,1.3812
0.1.7_Ir-1.2.7_Au,1,0:1:7,1:2:7,-0.03136755,-0.0235
0.1.7_Hg-0.3.5_Os,2,0:1:7,0:3:5,0.97978472,1.528
0.1.7_Hg-1.6.7_Os,2,0:1:7,1:6:7,-0.13576582,-0.0270000000001
1_Hg-6_Os,2,1,6,-0.0738601,-0.0616
0.7_Re-1.5_Tl,3,0:7,1:5,-0.22574228,-0.0488999999999
1_Au-4_Ir,1,1,4,0.00129444000001,0.0109
0.6_Au-1.2_Ir,1,0:6,1:2,-0.01453168,0.0329
0.2_Ir-0.4_Au,1,0:2,0:4,-0.10693019,-0.161
3.5_Re-3.6_Tl,3,3:5,3:6,-1.36559132,-1.9917
0.7_Au-5.7_Ir,1,0:7,5:7,0.00548208999999,0.0369
2.5.7_Re-3.6.7_Tl,3,2:5:7,3:6:7,-1.39899942,-2.028
1.2.3_Au-0.4.5_Ir,1,1:2:3,0:4:5,0.1756281,0.1883
0.1.7_Au-0.3.5_Ir,1,0:1:7,0:3:5,0.5710324,0.764
1.3.5.7_Re-0.1.3.6_Tl,3,1:3:5:7,0:1:3:6,-1.31416356,-2.2077
0_Os-6_Hg,2,0,6,0.01286011,0.0242
1.2.3_Au-1.5.7_Ir,1,1:2:3,1:5:7,0.06726923,0.1015
0.1_Re-1.4_Tl,3,0:1,1:4,-0.23424803,-0.0812999999999
1.5.7_Au-2.5.6_Ir,1,1:5:7,2:5:6,-0.02742619,-0.0124
1.2.3_Hg-0.4.5_Os,2,1:2:3,0:4:5,0.29083987,0.3766
2.3_Hg-1.5_Os,2,2:3,1:5,0.06060832,0.1668
3.5.6_Re-1.2.3_Tl,3,3:5:6,1:2:3,-1.52789257,-2.1267
2_Hg-3_Os,2,2,3,0.90603207,1.3872
2.3.5_Hg-3.4.7_Os,2,2:3:5,3:4:7,0.94706546,1.5272
2_Au-1_Ir,1,2,1,0.0225669,0.0374
5.7_Os-0.7_Hg,2,5:7,0:7,-0.12225287,-0.2094
3_Au-7_Ir,1,3,7,0.02718528,0.047
1_Tl-4_Re,3,1,4,-0.00450237999999,0.0327
2_Ir-2_Au,1,2,2,-0.03758615,-0.0461
2.3.5_Tl-2.3.6_Re,3,2:3:5,2:3:6,1.26810266,2.13
2_Os-2_Hg,2,2,2,-0.06750473,-0.0922
1_Ir-3_Au,1,1,3,-0.7359213,-0.6537
0.3.6.7_Re-0.2.5.6_Tl,3,0:3:6:7,0:2:5:6,-0.26001712,-0.3753
1.2_Os-0.2_Hg,2,1:2,0:2,-0.16870549,-0.2752
0.7_Os-1.5_Hg,2,0:7,1:5,-0.10659528,-0.0325999999999
3_Ir-5_Au,1,3,5,-0.03561799,-0.046
1.5.6.7_Tl-0.2.3.4_Re,3,1:5:6:7,0:2:3:4,1.44926117,2.3037
2.5.7_Ir-4.5.6_Au,1,2:5:7,4:5:6,0.01258806,-0.0322
5.7_Hg-4.7_Os,2,5:7,4:7,-0.02704453,0.0482
3.6_Hg-1.7_Os,2,3:6,1:7,-0.03085778,0.11
0.7_Tl-5.7_Re,3,0:7,5:7,-0.03009261,0.1107
0.1.3.5_Au-2.3.4.7_Ir,1,0:1:3:5,2:3:4:7,0.55177315,0.7486
0.2_Os-2.4_Hg,2,0:2,2:4,-0.09559744,-0.1514
3_Hg-7_Os,2,3,7,0.02548812,0.094
6_Hg-4_Os,2,6,4,0.02366451,0.0428
1.2_Tl-6.7_Re,3,1:2,6:7,0.01606229,0.0815999999999
6_Hg-0_Os,2,6,0,0.15677007,0.204
2.5.7_Os-3.6.7_Hg,2,2:5:7,3:6:7,-1.21305384,-1.352
3.5_Tl-2.4_Re,3,3:5,2:4,0.0320298,0.1743
7_Tl-4_Re,3,7,4,-0.02317487,-0.0183
0.1_Os-0.3_Hg,2,0:1,0:3,-1.26184889,-1.5278
7_Os-0_Hg,2,7,0,-0.05796966,-0.149
1.6.7_Re-0.4.5_Tl,3,1:6:7,0:4:5,-0.22738533,-0.339
1.3.5.7_Re-0.1.4.5_Tl,3,1:3:5:7,0:1:4:5,-0.36449747,-0.423
1.2.3.5_Hg-0.5.6.7_Os,2,1:2:3:5,0:5:6:7,0.26811043,0.3536
3_Hg-3_Os,2,3,3,0.88667089,1.3652
0.3.5.7_Hg-1.2.3.6_Os,2,0:3:5:7,1:2:3:6,0.7938688,1.3386
1.2_Tl-0.5_Re,3,1:2,0:5,0.35039296,0.4455
0.2_Ir-2.4_Au,1,0:2,2:4,-0.05534282,-0.0757
0.1.7_Au-1.6.7_Ir,1,0:1:7,1:6:7,-0.04940871,-0.0135
0.2.5_Tl-0.4.7_Re,3,0:2:5,0:4:7,0.40381057,0.5736
0.3.5.7_Tl-1.2.3.6_Re,3,0:3:5:7,1:2:3:6,1.10508293,2.0079
0.1.6_Re-0.2.5_Tl,3,0:1:6,0:2:5,-0.25660495,-0.432
5_Ir-1_Au,1,5,1,-0.02613715,-0.00959999999999
3.5_Os-3.6_Hg,2,3:5,3:6,-1.18261949,-1.3278
1.5_Ir-2.7_Au,1,1:5,2:7,-0.03304469,-0.0364
5.7_Hg-0.6_Os,2,5:7,0:6,0.07573268,0.1116
0.1.3.5_Hg-0.2.4.6_Os,2,0:1:3:5,0:2:4:6,0.18905291,0.275
5.6_Os-2.4_Hg,2,5:6,2:4,-0.07549569,-0.0794
1.2.3_Tl-1.5.7_Re,3,1:2:3,1:5:7,0.00778553000001,0.3045
1_Re-3_Tl,3,1,3,-1.44011205,-1.9611
1.3_Hg-2.3_Os,2,1:3,2:3,0.85954167,1.3776
7_Re-7_Tl,3,7,7,-0.04809688,-0.00329999999998
1.3.5.7_Ir-0.1.4.5_Au,1,1:3:5:7,0:1:4:5,-0.09225496,-0.141
1.2_Os-5.6_Hg,2,1:2,5:6,-0.02390709,-0.0523999999999
2_Tl-1_Re,3,2,1,-0.00831241,0.1122
3.5.7_Au-2.3.5_Ir,1,3:5:7,2:3:5,0.50995623,0.701
3.5_Hg-2.4_Os,2,3:5,2:4,0.03829757,0.1162
1.2_Hg-6.7_Os,2,1:2,6:7,0.02309164,0.0544
5.7_Au-4.7_Ir,1,5:7,4:7,0.00180449000001,0.0241
0.1.5_Au-1.4.7_Ir,1,0:1:5,1:4:7,0.0160675,0.0573
0_Ir-6_Au,1,0,6,0.0126425,0.0121
5.7_Re-3.5_Tl,3,5:7,3:5,-1.35374004,-1.9977
6_Tl-0_Re,3,6,0,0.23146782,0.306
1.5.6.7_Os-0.3.4.6_Hg,2,1:5:6:7,0:3:4:6,-1.13245725,-1.4618
2_Tl-0_Re,3,2,0,0.33609465,0.3942
5_Os-1_Hg,2,5,1,-0.09446282,-0.0192
2.3.5.7_Hg-0.3.4.6_Os,2,2:3:5:7,0:3:4:6,1.05587981,1.5784
3.5.6_Ir-1.2.3_Au,1,3:5:6,1:2:3,-0.77739559,-0.7089
0.3_Ir-2.6_Au,1,0:3,2:6,-0.02049761,-0.023
3.5.7_Tl-2.3.5_Re,3,3:5:7,2:3:5,1.11400066,2.103
1_Ir-7_Au,1,1,7,-0.02588785,-0.0181
2_Hg-1_Os,2,2,1,0.01961273,0.0748
2.3_Au-2.4_Ir,1,2:3,2:4,0.08135143,0.0859
